"file","info","pop","n","fsc","chl","pe"
"Ribalet.20140327.A.0003.fcs","31 S","crypto1","205","26039","26477","35748"
"Ribalet.20140327.A.0003.fcs","31 S","crypto2","247","27875","25408","32170"
"Ribalet.20140327.A.0004.fcs","65 B","beads","39","48701","28680","47904"
"Ribalet.20140327.A.0004.fcs","65 B","synecho","258","17727","14496","14469"
"Ribalet.20140327.A.0004.fcs","65 B","crypto1","164","21831","21680","29104"
"Ribalet.20140327.A.0004.fcs","65 B","crypto2","257","24874","21480","25512"
"Ribalet.20140327.A.0005.fcs","73 M","beads","130","48800","28396","47693"
"Ribalet.20140327.A.0005.fcs","73 M","synecho","639","17692","15843","17314"
"Ribalet.20140327.A.0005.fcs","73 M","crypto1","269","23299","24976","33744"
"Ribalet.20140327.A.0005.fcs","73 M","crypto2","339","25062","24065","30669"
"Ribalet.20140328.A.0001.fcs","23 S","beads","328","50037","29000","47791"
"Ribalet.20140328.A.0001.fcs","23 S","synecho","1149","18933","15042","15152"
"Ribalet.20140328.A.0001.fcs","23 S","crypto1","133","28170","24756","31404"
"Ribalet.20140328.A.0001.fcs","23 S","crypto2","191","31223","25266","26431"
"Ribalet.20140328.A.0002.fcs","33 B","beads","365","50037","28831","47653"
"Ribalet.20140328.A.0002.fcs","33 B","synecho","381","19106","16479","17643"
"Ribalet.20140328.A.0002.fcs","33 B","crypto1","314","27011","26071","34686"
"Ribalet.20140328.A.0002.fcs","33 B","crypto2","274","28985","25469","31573"
"Ribalet.20140328.A.0003.fcs","85 M","beads","351","49998","28867","47640"
"Ribalet.20140328.A.0003.fcs","85 M","synecho","470","19978","16161","18030"
"Ribalet.20140328.A.0003.fcs","85 M","crypto1","273","24473","26983","36013"
"Ribalet.20140328.A.0003.fcs","85 M","crypto2","560","26589","25903","33072"
"Ribalet.20140328.A.0004.fcs","99 S","beads","577","50037","28883","47673"
"Ribalet.20140328.A.0004.fcs","99 S","synecho","1011","20131","18109","20517"
"Ribalet.20140328.A.0004.fcs","99 S","crypto1","277","25463","25673","33902"
"Ribalet.20140328.A.0004.fcs","99 S","crypto2","12","32286","28281","32542"
"Ribalet.20140328.A.0005.fcs","109 M","beads","457","50098","28989","47771"
"Ribalet.20140328.A.0005.fcs","109 M","synecho","111","19833","17724","20495"
"Ribalet.20140328.A.0005.fcs","109 M","crypto1","401","25551","27076","35306"
"Ribalet.20140328.A.0005.fcs","109 M","crypto2","31","31536","28163","32881"
"Ribalet.20140403.A.0001.fcs","1 S","beads","821","49823","28734","47637"
"Ribalet.20140403.A.0001.fcs","1 S","synecho","543","18763","12128","13612"
"Ribalet.20140403.A.0001.fcs","1 S","crypto1","584","29130","24507","32057"
"Ribalet.20140403.A.0001.fcs","1 S","crypto2","503","31918","24410","28669"
"Ribalet.20140403.A.0002.fcs","15 B","beads","489","49438","28567","47512"
"Ribalet.20140403.A.0002.fcs","15 B","synecho","529","18919","12740","13030"
"Ribalet.20140403.A.0002.fcs","15 B","crypto1","236","25616","24316","31791"
"Ribalet.20140403.A.0002.fcs","15 B","crypto2","235","28575","24240","28852"
"Ribalet.20140403.A.0003.fcs","25 M","beads","826","49343","28374","47328"
"Ribalet.20140403.A.0003.fcs","25 M","synecho","789","18655","13775","14817"
"Ribalet.20140403.A.0003.fcs","25 M","crypto1","247","25048","24022","32773"
"Ribalet.20140403.A.0003.fcs","25 M","crypto2","265","27434","23083","28847"
"Ribalet.20140403.A.0004.fcs","39 B","beads","1159","50290","29198","48220"
"Ribalet.20140403.A.0004.fcs","39 B","synecho","310","20861","17647","21513"
"Ribalet.20140403.A.0004.fcs","39 B","crypto1","138","29179","30181","40271"
"Ribalet.20140403.A.0004.fcs","39 B","crypto2","608","28521","26347","34498"
"Ribalet.20140403.A.0005.fcs","57 S","beads","710","50354","29625","48673"
"Ribalet.20140403.A.0005.fcs","57 S","synecho","256","18665","14835","16104"
"Ribalet.20140403.A.0005.fcs","57 S","crypto1","289","25331","24275","32600"
"Ribalet.20140403.A.0005.fcs","57 S","crypto2","286","27359","22753","27752"
"Ribalet.20140403.A.0006.fcs","67 M","beads","674","50372","29718","48775"
"Ribalet.20140403.A.0006.fcs","67 M","synecho","709","18945","15467","16243"
