time,elevation,ph,temp,sal,conductivity,oxygen,fluo
1378857040,14.3751052631579,7.80732185660831,20.0327450980392,8.86403921568627,1.37317647058824,4.898625,761.278970702768
1378860640,14.7533571428571,NA,NA,NA,NA,NA,NA
1378864240,15.1942307692308,7.84220717105471,19.258,10.9824166666667,1.64425,4.90666666666667,844.249435870424
1378867840,15.6718965517241,7.851435845768,18.7074,12.8885,1.8833,4.898,860.41111638693
1378871440,16.0601,7.86602054237063,16.3344285714286,20.0101428571429,2.67042857142857,4.486,880.928111254938
1378875040,16.3222592592593,7.87012040931441,16.3333571428571,19.6070714285714,2.62078571428571,4.531,885.504487001919
1378878640,16.3715333333333,NA,NA,NA,NA,NA,NA
1378882240,16.1908965517241,7.88451182857503,16.5333333333333,17.8949166666667,2.42058333333333,4.7,894.85748839113
1378885840,15.7383846153846,7.88648001430827,17.1302,15.3464,2.134,4.782,892.57961348645
1378889440,15.4540666666667,7.88501206397097,17.8907307692308,14.1360384615385,2.01259615384615,4.67188888888889,887.00001991493
1378893040,15.1827931034483,7.88151730839258,18.1932857142857,13.2874489795918,1.91275510204082,4.7731875,881.561723966562
1378896640,15.0987,7.87290966710208,18.9608771929825,11.7030877192982,1.73284210526316,4.95230769230769,871.522438931021
1378900240,15.2703666666667,7.86476675653413,18.6643673469388,12.7836734693878,1.86720408163265,4.983,860.620301662086
1378903840,15.5996551724138,7.86002587382014,18.5804848484848,13.0365757575758,1.89663636363636,4.8781,849.574208058216
1378907440,16.0194642857143,7.85892744521112,17.3360740740741,16.9111666666667,2.34005555555556,4.61873684210526,826.270288475264
1378911040,16.3973,7.86509133743654,16.0323518518519,21.0979814814815,2.78164814814815,4.48,803.795575361083
1378914640,16.8260333333333,7.88044156028819,15.12075,23.3803333333333,2.99191666666667,4.723,769.610457119792
1378918240,17.0015333333333,7.89465919959954,14.18828,25.93724,3.21544,4.55625,745.63980955828
1378921840,16.9318,7.90529035125229,14.3886111111111,25.6581111111111,3.19972222222222,4.73888888888889,727.258420685839
1378925440,16.6054,7.91349063019358,15.4746842105263,22.4880526315789,2.90494736842105,4.861,713.277688789663
1378929040,16.1203,7.91175173827046,16.94871875,17.9576875,2.45353125,4.85011111111111,714.518829611035
1378932640,15.5452333333333,7.90017983705964,17.4480714285714,16.2706904761905,2.2667380952381,4.8291,730.88293633163
1378936240,14.9973214285714,7.87420805213534,18.2213648648649,13.6566081081081,1.964,4.9015,767.672452506639
1378939840,14.6072142857143,7.85337707637103,18.6862391304348,11.7810869565217,1.7315,4.86818181818182,796.161147383404
1378943440,14.4120740740741,7.82958884449081,19.0288636363636,10.3112272727273,1.54425,4.9204,824.661530060854
1378947040,14.5318,7.81380937858762,19.2861343283582,8.80371641791045,1.34177611940299,4.97935294117647,832.542206940119
1378950640,14.8688076923077,7.80901390801813,18.996641509434,9.70707547169811,1.45903773584906,4.9214,821.019216698099
1378954240,15.2660714285714,7.81679001849941,18.5203111111111,11.4212888888889,1.67731111111111,4.802,796.840371036401
1378957840,15.6880357142857,7.83400192050881,17.6732692307692,14.3347692307692,2.02542307692308,4.6816875,775.477941881798
1378961440,16.0501666666667,7.8564703982331,16.8670909090909,16.9429545454545,2.31925,4.65676923076923,758.536417165556
1378965040,16.2938333333333,7.88261919538566,16.4543076923077,18.3850769230769,2.47869230769231,4.49142857142857,744.008776594973
1378968640,16.3495925925926,7.88940598797465,16.4955952380952,18.9214047619048,2.54659523809524,4.70554545454545,741.702883297237
1378972240,16.2177931034483,7.87058138149204,17.6783529411765,15.5225588235294,2.18104411764706,4.87442857142857,750.450361362889
1378975840,15.9225185185185,7.83271452647965,17.8891627906977,14.7551860465116,2.09379069767442,4.66327272727273,769.158106825254
1378979440,15.6004482758621,7.79568793613985,18.4263571428571,13.3680714285714,1.93525,4.6831875,797.771306767646
1378983040,15.3546666666667,7.77672352840011,19.1339125,11.3474125,1.6907625,4.7605,865.115467539462
1378986640,15.2899666666667,7.80302212940632,19.3554821428571,10.5707678571429,1.59183928571429,4.83264285714286,918.892168786556
1378990240,15.4303,7.85880678362973,19.0533265306122,10.919887755102,1.62929591836735,5.0051875,983.970661474429
1378993840,15.6938214285714,7.86671612241431,18.43484,12.63542,1.83516,4.89708333333333,976.740873223769
1378997440,16.0396206896552,7.85532541308316,18.3369415584416,12.0438181818182,1.75378571428571,4.87015384615385,878.27992131828
1379001040,16.4566333333333,7.85975994321889,17.1376753246753,16.2066363636364,2.24223376623377,4.62721739130435,813.143618603
1379004640,16.7720333333333,7.88513634040066,16.3391515151515,19.6234444444444,2.62224242424242,4.549125,808.38452806841
1379008240,16.9346896551724,7.9176097316746,16.087963963964,20.5901801801802,2.72462162162162,4.40636,839.579817031083
1379011840,16.8674333333333,7.94562036085147,16.7261293103448,18.2899827586207,2.48129310344828,5.04613793103448,837.682164712032
1379015440,16.5764827586207,7.95824602677434,18.0197431192661,12.9218165137615,1.85403669724771,5.09984615384615,751.997769442693
1379019040,16.1075652173913,7.94289710418284,18.7462571428571,10.3407619047619,1.53878095238095,5.13059090909091,647.8143966471
1379022640,15.5553571428571,7.90271991934663,19.1931165048544,8.38221359223301,1.28028155339806,5.0707,639.288483584318
1379026240,15.036,7.86471674587712,19.4586322580645,7.44223225806452,1.15305161290323,5.055075,682.423952062741
1379029840,14.6474814814815,7.82399001564081,19.5439833333333,7.142475,1.11235,4.95962162162162,696.924868971453
1379033440,14.4058,7.79708572170611,19.6472536231884,6.75544927536232,1.05866666666667,4.94475,692.315537117768
