file,info,pop,n,fsc,chl,pe,vol
Ribalet.20140404.A.0007.fcs,79 M,crypto2,340,27120,25318,32247,0.08
Ribalet.20140404.A.0008.fcs,87 S,beads,686,50475,29409,48384,0.09
Ribalet.20140404.A.0008.fcs,87 S,synecho,2902,19166,15372,16715,0.09
Ribalet.20140404.A.0008.fcs,87 S,crypto1,95,26131,27546,36165,0.09
Ribalet.20140404.A.0008.fcs,87 S,crypto2,132,27980,25920,31540,0.09
Ribalet.20140404.A.0009.fcs,93 S,beads,476,50490,29420,48405,0.08
Ribalet.20140404.A.0009.fcs,93 S,synecho,865,19849,17960,20053,0.08
Ribalet.20140404.A.0009.fcs,93 S,crypto1,192,25211,26225,35323,0.08
Ribalet.20140404.A.0009.fcs,93 S,crypto2,151,27894,26011,32856,0.08
Ribalet.20140404.A.0010.fcs,101 B,beads,492,50540,29390,48361,0.07
Ribalet.20140404.A.0010.fcs,101 B,synecho,249,19615,18138,21349,0.07
Ribalet.20140404.A.0010.fcs,101 B,crypto1,465,24880,26804,36370,0.07
Ribalet.20140404.A.0010.fcs,101 B,crypto2,238,27578,26894,34768,0.07
Ribalet.20140826.A.0001.fcs,13M,beads,1934,50370,30546,49509,0.05
Ribalet.20140826.A.0001.fcs,13M,synecho,581,19023,14121,14182,0.05
Ribalet.20140826.A.0001.fcs,13M,crypto1,159,28306,25440,31596,0.05
Ribalet.20140826.A.0001.fcs,13M,crypto2,62,34825,28781,30015,0.05
Ribalet.20140826.A.0002.fcs,43M,beads,566,50400,30489,49467,0.1
Ribalet.20140826.A.0002.fcs,43M,synecho,181,18639,14840,17157,0.1
Ribalet.20140826.A.0002.fcs,43M,crypto1,522,27596,25971,34157,0.1
Ribalet.20140826.A.0002.fcs,43M,crypto2,299,28155,22783,28347,0.1
Ribalet.20140826.A.0003.fcs,45S,beads,604,50336,30422,49412,0.1
Ribalet.20140826.A.0003.fcs,45S,synecho,182,18646,16368,19005,0.1
Ribalet.20140826.A.0003.fcs,45S,crypto1,460,27753,27553,36358,0.1
