stages,freq.dist,size.dist,time,fsc_beads
1,1.08073832969424e-11,0,2013-09-23 22:51:08,240
1.011,1.22969087766473e-11,0,2013-09-23 22:51:08,240
1.023,1.40609306692717e-11,0,2013-09-23 22:51:08,240
1.034,1.60378240001976e-11,0,2013-09-23 22:51:08,240
1.046,1.82444559912523e-11,0,2013-09-23 22:51:08,240
1.058,2.07472793572305e-11,0,2013-09-23 22:51:08,240
1.07,2.36669573275876e-11,0,2013-09-23 22:51:08,240
1.082,2.69307667948208e-11,0,2013-09-23 22:51:08,240
1.094,3.05648627011212e-11,0,2013-09-23 22:51:08,240
1.107,3.47364558406117e-11,0,2013-09-23 22:51:08,240
1.119,3.95309903877657e-11,0,2013-09-23 22:51:08,240
1.132,4.4877361504889e-11,0,2013-09-23 22:51:08,240
1.145,5.0815762115578e-11,0,2013-09-23 22:51:08,240
1.158,5.77127621036999e-11,0,2013-09-23 22:51:08,240
1.171,6.55243725260123e-11,0,2013-09-23 22:51:08,240
1.184,7.4213750816899e-11,0,2013-09-23 22:51:08,240
1.197,8.3842109196129e-11,0,2013-09-23 22:51:08,240
1.211,9.5153135672487e-11,0,2013-09-23 22:51:08,240
1.225,1.07780695065203e-10,0,2013-09-23 22:51:08,240
1.238,1.21793210517638e-10,0,2013-09-23 22:51:08,240
1.252,1.37452596789566e-10,0,2013-09-23 22:51:08,240
1.267,1.55683342866975e-10,0,2013-09-23 22:51:08,240
1.281,1.75936141562904e-10,0,2013-09-23 22:51:08,240
1.295,1.98356561241988e-10,0,2013-09-23 22:51:08,240
1.31,2.23693177031983e-10,0,2013-09-23 22:51:08,240
1.325,2.52773714210631e-10,0,2013-09-23 22:51:08,240
1.34,2.85002167112902e-10,0,2013-09-23 22:51:08,240
1.355,3.2059593682368e-10,0,2013-09-23 22:51:08,240
1.37,3.61258724843798e-10,0,2013-09-23 22:51:08,240
1.386,4.0728209860044e-10,0,2013-09-23 22:51:08,240
1.402,4.58166488060911e-10,0,2013-09-23 22:51:08,240
1.417,5.14233719297591e-10,0,2013-09-23 22:51:08,240
1.434,5.78965385719645e-10,0,2013-09-23 22:51:08,240
1.45,6.51231384743628e-10,0,2013-09-23 22:51:08,240
1.466,7.30943106578751e-10,0,2013-09-23 22:51:08,240
1.483,8.18798313110332e-10,0,2013-09-23 22:51:08,240
1.5,9.20785223255519e-10,0,2013-09-23 22:51:08,240
1.516,1.03336762306292e-09,0,2013-09-23 22:51:08,240
1.534,1.15726269351121e-09,0,2013-09-23 22:51:08,240
1.551,1.29523664122999e-09,0,2013-09-23 22:51:08,240
1.569,1.45324358527858e-09,0,2013-09-23 22:51:08,240
1.586,1.62725959075702e-09,0,2013-09-23 22:51:08,240
1.604,1.81832480886717e-09,0,2013-09-23 22:51:08,240
1.622,2.03324995059154e-09,0,2013-09-23 22:51:08,240
1.641,2.27612268494961e-09,0,2013-09-23 22:51:08,240
1.659,2.54298744147852e-09,0,2013-09-23 22:51:08,240
1.678,2.83533966531983e-09,0,2013-09-23 22:51:08,240
1.697,3.16741266298826e-09,0,2013-09-23 22:51:08,240
1.716,3.5377972657776e-09,0,2013-09-23 22:51:08,240
1.736,3.94384542955576e-09,0,2013-09-23 22:51:08,240
1.755,4.38768858495619e-09,0,2013-09-23 22:51:08,240
1.775,4.89658753222328e-09,0,2013-09-23 22:51:08,240
1.795,5.45698893579318e-09,0,2013-09-23 22:51:08,240
1.816,6.06997267678125e-09,0,2013-09-23 22:51:08,240
1.836,6.74334698503823e-09,0,2013-09-23 22:51:08,240
1.857,7.51207914445881e-09,0,2013-09-23 22:51:08,240
