stages,freq.dist,size.dist,time,fsc_beads
1,1.43405891031016e-19,0,2013-09-17 20:16:00,227
1.011,4.08813108615968e-19,0,2013-09-17 20:16:00,227
1.023,6.83803345954847e-19,0,2013-09-17 20:16:00,227
1.034,5.35371095672659e-19,0,2013-09-17 20:16:00,227
1.046,1.76595516925778e-19,0,2013-09-17 20:16:00,227
1.058,1.06502531854393e-19,0,2013-09-17 20:16:00,227
1.07,2.5397684584453e-19,0,2013-09-17 20:16:00,227
1.082,3.07271641468135e-19,0,2013-09-17 20:16:00,227
1.094,3.47753164272368e-19,0,2013-09-17 20:16:00,227
1.107,1.31169936935969e-19,0,2013-09-17 20:16:00,227
1.119,4.34859207696178e-20,0,2013-09-17 20:16:00,227
1.132,2.3040868506378e-19,0,2013-09-17 20:16:00,227
1.145,6.74117076809877e-19,0,2013-09-17 20:16:00,227
1.158,4.98697144658198e-19,0,2013-09-17 20:16:00,227
1.171,2.404663243979e-19,0,2013-09-17 20:16:00,227
1.184,1.56847178128573e-19,0,2013-09-17 20:16:00,227
1.197,3.12742381557426e-19,0,2013-09-17 20:16:00,227
1.211,6.09606882121802e-19,0,2013-09-17 20:16:00,227
1.225,3.14448365801898e-19,0,2013-09-17 20:16:00,227
1.238,9.75173914078806e-20,0,2013-09-17 20:16:00,227
1.252,0,0,2013-09-17 20:16:00,227
1.267,9.19480554834613e-20,0,2013-09-17 20:16:00,227
1.281,4.96763283525791e-19,0,2013-09-17 20:16:00,227
1.295,3.25380985344256e-19,0,2013-09-17 20:16:00,227
1.31,1.65363273844874e-19,0,2013-09-17 20:16:00,227
1.325,1.46472520992568e-19,0,2013-09-17 20:16:00,227
1.34,2.43537221173017e-19,0,2013-09-17 20:16:00,227
1.355,1.89561857434039e-19,0,2013-09-17 20:16:00,227
1.37,3.26622414909874e-19,0,2013-09-17 20:16:00,227
1.386,4.45499048653108e-19,0,2013-09-17 20:16:00,227
1.402,5.06989326481462e-19,0,2013-09-17 20:16:00,227
1.417,5.73620543732701e-19,0,2013-09-17 20:16:00,227
1.434,9.40906026675273e-19,0,2013-09-17 20:16:00,227
1.45,9.91055027501028e-19,0,2013-09-17 20:16:00,227
1.466,9.46272778660189e-19,0,2013-09-17 20:16:00,227
1.483,1.08726343335396e-18,0,2013-09-17 20:16:00,227
1.5,1.53961316601245e-18,0,2013-09-17 20:16:00,227
1.516,1.91554314080384e-18,0,2013-09-17 20:16:00,227
1.534,2.19158689369997e-18,0,2013-09-17 20:16:00,227
1.551,2.48408208302545e-18,0,2013-09-17 20:16:00,227
1.569,2.99198912724591e-18,0,2013-09-17 20:16:00,227
1.586,3.88512989037081e-18,0,2013-09-17 20:16:00,227
1.604,5.19382161977642e-18,0,2013-09-17 20:16:00,227
1.622,6.64503493245725e-18,0,2013-09-17 20:16:00,227
1.641,8.01917367785703e-18,0,2013-09-17 20:16:00,227
1.659,9.884579262568e-18,0,2013-09-17 20:16:00,227
1.678,1.28261118927419e-17,0,2013-09-17 20:16:00,227
1.697,1.62172827926549e-17,0,2013-09-17 20:16:00,227
1.716,2.07901424721044e-17,0,2013-09-17 20:16:00,227
1.736,2.62820919173255e-17,0,2013-09-17 20:16:00,227
1.755,3.31593809241623e-17,0,2013-09-17 20:16:00,227
1.775,4.20886059771289e-17,0,2013-09-17 20:16:00,227
1.795,5.37881350397653e-17,0,2013-09-17 20:16:00,227
1.816,6.828318927166e-17,0,2013-09-17 20:16:00,227
1.836,8.61535091930277e-17,0,2013-09-17 20:16:00,227
1.857,1.08340000025195e-16,0,2013-09-17 20:16:00,227
1.878,1.35931222373307e-16,0,2013-09-17 20:16:00,227
1.899,1.72577173602155e-16,0,2013-09-17 20:16:00,227
1.921,2.18148312712782e-16,0,2013-09-17 20:16:00,227
1.943,2.74596995945897e-16,0,2013-09-17 20:16:00,227
1.965,3.44326735919676e-16,0,2013-09-17 20:16:00,227
1.987,4.29906462642123e-16,0,2013-09-17 20:16:00,227
2.009,5.4334865627736e-16,0,2013-09-17 20:16:00,227
2.032,6.84227634689309e-16,0,2013-09-17 20:16:00,227
2.055,8.57838263598164e-16,0,2013-09-17 20:16:00,227
2.078,1.0708864425487e-15,0,2013-09-17 20:16:00,227
2.102,1.33215848661799e-15,0,2013-09-17 20:16:00,227
2.126,1.67508610811097e-15,0,2013-09-17 20:16:00,227
2.15,2.09849683734355e-15,0,2013-09-17 20:16:00,227
2.174,2.61857378994601e-15,0,2013-09-17 20:16:00,227
