"time","div.ave","div.sd","div.se","div.n"
1378831775,0.0288056420245089,0,0,8
1378835375,0.0269787624264539,0.00270628698314831,0.000815976227102347,11
1378838975,0.0252638347471212,0.00444836626977349,0.00123375482136252,13
1378842575,0.0229745957396357,0.00311828432575225,0.000833396541536594,14
1378846175,0.0206327778160747,0.00226028877553718,0.000604087585230781,14
1378849775,0.018951925434458,0.00183182120702623,0.000489574810751348,14
1378853375,0.0176080940365369,0.00156804317191505,0.000419077165498312,14
1378856975,0.016580102831433,0.00143748795407767,0.000384184815840948,14
1378860575,0.0157594933520432,0.0011364401700616,0.000303726411209829,14
1378864175,0.0148172195591938,0.00119730043760116,0.000319992001895576,14
1378867775,0.0140552948514049,0.000874133575711584,0.000233622025042026,14
1378871375,0.0133840978732279,0.00099877533243488,0.00026693393573804,14
1378874975,0.0130976590985547,0.000847438941006291,0.000226487583818291,14
1378878575,0.0131981524919316,0.00108346327377492,0.000289567740115586,14
1378882175,0.0138813220176803,0.0014850481526713,0.000396895813582683,14
1378892975,0.0151887491605965,0.00179449381445854,0.000479598645456352,14
1378896575,0.0169882894529642,0.00237458151920415,0.000634633605844793,14
1378900175,0.0194227609797544,0.00292877893654821,0.000782749095868825,14
1378903775,0.0243568740839258,0.0044460175416133,0.00118824816973599,14
1378907375,0.0316577642346697,0.00604473648327697,0.00161552377955394,14
1378910975,0.0384740580860413,0.00716763082677132,0.00191562991633268,14
1378914575,0.0436960870362573,0.00789218461304754,0.00210927506108521,14
1378918175,0.0466201815081959,0.00771721022389062,0.00206251118853627,14
1378921775,0.0467013189786545,0.00618114419189511,0.00165198027316566,14
1378925375,0.0506767610821113,0.0101330919366042,0.0027081827353896,14
1378928975,0.060800721939903,0.0205757997069786,0.00549911378302839,14
1378932575,0.0762439700001771,0.0318478191009038,0.00851168768510979,14
1378943375,0.0893487284220832,0.0534767311173632,0.0142922575718433,14
1378946975,0.0849533216722776,0.0461346996475011,0.0123300171230478,14
1378950575,0.08006115436541,0.0356575170220158,0.00952987228281736,14
1379004575,0.0764162016770507,0.0286556633202212,0.00765854816678662,14
1379029775,0.0743376664171744,0.0253241093416763,0.00676815291298244,14
1379033375,0.0747653526750573,0.0272300596345644,0.00727753955528306,14
1379036975,0.0753131384830163,0.029920929189969,0.00799670469448484,14
1379040575,0.0744725423415676,0.0301243025284764,0.00805105850550618,14
1379044175,0.0716846411525122,0.0254812623343798,0.00681015381698262,14
1379047775,0.0694151048620849,0.0210773037929298,0.00563314638786387,14
1379051375,0.0670898145674358,0.0177010734921964,0.00473081088470749,14
1379054975,0.0651974396230928,0.0147777137851675,0.00394951013885022,14
1379058575,0.0636909273137899,0.0128819836139338,0.00344285493895545,14
1379062175,0.062303507367275,0.0111725845105933,0.00298599881167268,14
1379065775,0.0608937625798038,0.0100900189563354,0.00269667099719011,14
1379069375,0.0597641788048771,0.00925453879859983,0.00247337953264051,14
1379072975,0.0585398817320788,0.00879248962348073,0.00234989169627357,14
1379076575,0.0577831475677161,0.00830013148384268,0.00221830344840821,14
1379080175,0.056987665634269,0.0083162531485075,0.00222261214452822,14
1379083775,0.0559146418283062,0.0082771389224044,0.00221215842788347,14
1379364575,0.0563489013954854,0.00862062335974612,0.00230395850518501,14
1379368175,0.0577045271500801,0.012490336196258,0.00333818276371561,14
1379447375,0.0409374299164574,0.032053752792046,0.00856672577915605,14
1379450975,0.043836889215545,0.0333052350987963,0.00890119849468957,14
1379454575,0.0356618568817595,0.0176059923176304,0.0047053993719105,14
1379458175,0.0411195930182386,0.0203276626001942,0.00543279635170465,14
1379461775,0.0391460071186939,0.0192579397831322,0.00514690090311458,14
1379465375,0.0432202479239523,0.0215453445256187,0.0057582355353479,14
1379468975,0.0410388090247316,0.0203549211113355,0.00544008149524495,14
1379472575,0.0390705312918621,0.0192825970806702,0.00515349084307682,14
1379476175,0.0381540862376072,0.0193696822454172,0.00517676533235924,14
1379479775,0.0367742833139767,0.018463301808699,0.0049345249711968,14
1379483375,0.0391339544745518,0.0203578270388821,0.00544085813704996,14
1379486975,0.03821621777939,0.0192735832757251,0.00515108180237283,14
1379497775,0.0346769046330706,0.016953021518722,0.00453088558526171,14
1379501375,0.0430853920969272,0.0199821002753925,0.00534044093562,14
1379504975,0.0440952715425612,0.0083763301414638,0.00223866839627609,14
1379508575,0.0528284801255884,0.00915638734203458,0.00244714745246336,14
1379512175,0.0472147761626805,0.0120488231119201,0.00322018342847488,14
1379515775,0.04791981753924,0.0131564785094193,0.00351621678562153,14
1379519375,0.0406401564841979,0.0101500333109272,0.00271271050813089,14
1379522975,0.0459613480297554,0.0168226699910558,0.00449604767409243,14
1379526575,0.0522010869082788,0.0121614955839649,0.00325029641328294,14
1379540975,0.0616363936133849,0.0120044306895773,0.00320831905454806,14
1379544575,0.0635880853052729,0.0173418955573574,0.00463481654377488,14
1379548175,0.0799147636520449,0.0226233910323964,0.00604635558358866,14
1379551775,0.100399490954319,0.0350967158357797,0.00937999186131793,14
1379980175,0.10640602576994,0.0427753561960504,0.0114321948202027,14
1379983775,0.111215589624215,0.0469582385456219,0.0125501171517228,14
1379987375,0.117818970123353,0.0528942436656883,0.0141365812521102,14
1379990975,0.121435752761031,0.056763081928125,0.0151705717708874,14
1379994575,0.127190125900413,0.0591146268664995,0.0157990485915302,14
1379998175,0.131944429039126,0.0608937508941781,0.0162745394886838,14
1380001775,0.135582804344744,0.0638481957006442,0.0170641480768217,14
1380005375,0.139373322442711,0.0659905130289892,0.0176367064665657,14
1380008975,0.141249358778239,0.0680590209498652,0.0181895384624047,14
1380012575,0.143822085494478,0.0695378016079494,0.0185847592176003,14
1380016175,0.146161767010846,0.070926456379709,0.0189558928164884,14
1380019775,0.147219978629284,0.0723834125909798,0.0193452807429247,14
1380023375,0.148936170700739,0.0725579685806914,0.0193919327935183,14
1380026975,0.150028217420718,0.0732658399761038,0.0195811193817705,14
1380030575,0.151107805718726,0.073292350642343,0.0195882046553535,14
