stages,freq.dist,size.dist,time,fsc_beads
1,1.12235592561177e-19,0,2013-09-16 20:04:07,237
1.011,1.82454141951473e-19,0,2013-09-16 20:04:07,237
1.023,2.99505841261843e-19,0,2013-09-16 20:04:07,237
1.034,2.58870402983586e-19,0,2013-09-16 20:04:07,237
1.046,1.19759063184148e-19,0,2013-09-16 20:04:07,237
1.058,2.11319383591486e-19,0,2013-09-16 20:04:07,237
1.07,3.21956885650412e-19,0,2013-09-16 20:04:07,237
1.082,3.60257945939532e-19,0,2013-09-16 20:04:07,237
1.094,2.35318486402475e-19,0,2013-09-16 20:04:07,237
1.107,2.16876333022334e-19,0,2013-09-16 20:04:07,237
1.119,2.82296334502024e-19,0,2013-09-16 20:04:07,237
1.132,2.39186127418049e-19,0,2013-09-16 20:04:07,237
1.145,1.24979673679803e-19,0,2013-09-16 20:04:07,237
1.158,1.40465869510836e-19,0,2013-09-16 20:04:07,237
1.171,2.23512263977705e-19,0,2013-09-16 20:04:07,237
1.184,2.44438634015844e-19,0,2013-09-16 20:04:07,237
1.197,2.14102544741623e-19,0,2013-09-16 20:04:07,237
1.211,1.83354558100704e-19,0,2013-09-16 20:04:07,237
1.225,1.47091066264259e-19,0,2013-09-16 20:04:07,237
1.238,1.86088058087324e-20,0,2013-09-16 20:04:07,237
1.252,1.70914262783902e-19,0,2013-09-16 20:04:07,237
1.267,1.04026567586193e-19,0,2013-09-16 20:04:07,237
1.281,1.23216076871665e-19,0,2013-09-16 20:04:07,237
1.295,2.41730071840038e-19,0,2013-09-16 20:04:07,237
1.31,6.81287984225947e-20,0,2013-09-16 20:04:07,237
1.325,2.75127995823166e-19,0,2013-09-16 20:04:07,237
1.34,9.47237852479864e-20,0,2013-09-16 20:04:07,237
1.355,2.17955274600794e-19,0,2013-09-16 20:04:07,237
1.37,3.14464467432826e-19,0,2013-09-16 20:04:07,237
1.386,2.85592098730225e-19,0,2013-09-16 20:04:07,237
1.402,2.31869591025271e-19,0,2013-09-16 20:04:07,237
1.417,5.24115938843464e-21,0,2013-09-16 20:04:07,237
1.434,2.24873685984593e-19,0,2013-09-16 20:04:07,237
1.45,3.2130818447065e-19,0,2013-09-16 20:04:07,237
1.466,2.26416552569799e-19,0,2013-09-16 20:04:07,237
1.483,7.18626988259765e-20,0,2013-09-16 20:04:07,237
1.5,4.02500862237479e-20,0,2013-09-16 20:04:07,237
1.516,2.06444636529173e-19,0,2013-09-16 20:04:07,237
1.534,6.01176176770452e-20,0,2013-09-16 20:04:07,237
1.551,1.71616627649392e-19,0,2013-09-16 20:04:07,237
1.569,2.97932874404416e-19,0,2013-09-16 20:04:07,237
1.586,2.13928116374732e-19,0,2013-09-16 20:04:07,237
1.604,3.98653471766502e-20,0,2013-09-16 20:04:07,237
1.622,1.80109968828782e-19,0,2013-09-16 20:04:07,237
1.641,3.3000593936023e-19,0,2013-09-16 20:04:07,237
1.659,3.07628904573617e-19,0,2013-09-16 20:04:07,237
1.678,1.47106626296378e-19,0,2013-09-16 20:04:07,237
1.697,2.59032014372183e-19,0,2013-09-16 20:04:07,237
1.716,4.55944614076805e-19,0,2013-09-16 20:04:07,237
1.736,2.79823373759499e-19,0,2013-09-16 20:04:07,237
1.755,4.07036112450463e-20,0,2013-09-16 20:04:07,237
1.775,3.59870785821835e-19,0,2013-09-16 20:04:07,237
1.795,1.47087769706361e-19,0,2013-09-16 20:04:07,237
1.816,1.27614883284881e-19,0,2013-09-16 20:04:07,237
1.836,1.90269565321693e-19,0,2013-09-16 20:04:07,237
1.857,1.05606817923959e-19,0,2013-09-16 20:04:07,237
1.878,2.76081281505064e-19,0,2013-09-16 20:04:07,237
1.899,4.16260223440863e-19,0,2013-09-16 20:04:07,237
1.921,4.6473381076086e-19,0,2013-09-16 20:04:07,237
1.943,4.47240614764116e-19,0,2013-09-16 20:04:07,237
1.965,4.04501176586191e-19,0,2013-09-16 20:04:07,237
1.987,3.36927896306867e-19,0,2013-09-16 20:04:07,237
2.009,2.27787807597216e-19,0,2013-09-16 20:04:07,237
2.032,3.43221088475228e-19,0,2013-09-16 20:04:07,237
2.055,2.96854559605827e-19,0,2013-09-16 20:04:07,237
2.078,1.86255961702837e-19,0,2013-09-16 20:04:07,237
2.102,1.6475646072945e-19,0,2013-09-16 20:04:07,237
2.126,2.03783798790675e-19,0,2013-09-16 20:04:07,237
2.15,1.56398433822185e-19,0,2013-09-16 20:04:07,237
2.174,5.0926576713186e-21,0,2013-09-16 20:04:07,237
2.199,2.65290294647787e-19,0,2013-09-16 20:04:07,237
2.223,1.12369780104437e-19,0,2013-09-16 20:04:07,237
2.249,5.5337680274823e-20,0,2013-09-16 20:04:07,237
2.274,7.77416688157771e-20,0,2013-09-16 20:04:07,237
2.3,5.84533141036584e-20,0,2013-09-16 20:04:07,237
2.326,2.65321048343263e-19,0,2013-09-16 20:04:07,237
2.352,2.09081305632882e-19,0,2013-09-16 20:04:07,237
2.379,4.38425144268021e-19,0,2013-09-16 20:04:07,237
2.406,4.28797581462972e-19,0,2013-09-16 20:04:07,237
2.433,2.41280905706201e-19,0,2013-09-16 20:04:07,237
2.46,8.29613838847631e-20,0,2013-09-16 20:04:07,237
2.488,6.56713783244585e-20,0,2013-09-16 20:04:07,237
2.516,5.97875310460088e-20,0,2013-09-16 20:04:07,237
2.545,2.1122058041695e-19,0,2013-09-16 20:04:07,237
2.574,1.03982149734069e-19,0,2013-09-16 20:04:07,237
2.603,1.22064026589282e-19,0,2013-09-16 20:04:07,237
2.632,1.98046613401993e-19,0,2013-09-16 20:04:07,237
2.662,8.87741690565171e-21,0,2013-09-16 20:04:07,237
2.692,6.84952636519178e-20,0,2013-09-16 20:04:07,237
2.723,1.35185167945193e-20,0,2013-09-16 20:04:07,237
2.753,0,0,2013-09-16 20:04:07,237
2.785,1.52414482189525e-19,0,2013-09-16 20:04:07,237
2.816,2.05740236373709e-19,0,2013-09-16 20:04:07,237
2.848,3.8313458974474e-20,0,2013-09-16 20:04:07,237
2.88,2.12955930631713e-19,0,2013-09-16 20:04:07,237
2.913,3.03019927199867e-20,0,2013-09-16 20:04:07,237
2.946,2.71635959867451e-19,0,2013-09-16 20:04:07,237
2.979,5.04035445264164e-19,0,2013-09-16 20:04:07,237
3.013,4.25950949968805e-19,0,2013-09-16 20:04:07,237
3.047,1.1232152407472e-19,0,2013-09-16 20:04:07,237
3.081,0,0,2013-09-16 20:04:07,237
3.116,0,0,2013-09-16 20:04:07,237
3.152,2.09397363564634e-19,0,2013-09-16 20:04:07,237
3.187,1.12472286064007e-19,0,2013-09-16 20:04:07,237
3.223,0,0,2013-09-16 20:04:07,237
3.26,0,0,2013-09-16 20:04:07,237
3.297,3.40218894991184e-20,0,2013-09-16 20:04:07,237
3.334,2.70877701336524e-19,0,2013-09-16 20:04:07,237
3.372,8.21504513266537e-20,0,2013-09-16 20:04:07,237
3.41,1.19458515745203e-20,0,2013-09-16 20:04:07,237
3.449,1.28782003280428e-19,0,2013-09-16 20:04:07,237
3.488,1.76586097231614e-19,0,2013-09-16 20:04:07,237
3.527,0,0,2013-09-16 20:04:07,237
3.567,3.03807912776547e-21,0,2013-09-16 20:04:07,237
3.607,1.85340731799102e-19,0,2013-09-16 20:04:07,237
3.648,6.54454093814578e-20,0,2013-09-16 20:04:07,237
3.689,0,0,2013-09-16 20:04:07,237
3.731,0,0,2013-09-16 20:04:07,237
3.773,0,0,2013-09-16 20:04:07,237
3.816,0,0,2013-09-16 20:04:07,237
3.859,0,0,2013-09-16 20:04:07,237
3.903,1.08598953362176e-19,0,2013-09-16 20:04:07,237
3.947,5.93190582715862e-20,0,2013-09-16 20:04:07,237
