cruise	file	time	lat	lon	opp_evt_ratio	flow_rate	file_duration	pop	n_count	abundance	fsc_small	chl_small	pe	flag
CMOP_6	2013_253/1.evt	2013-09-10T16:49:35+0000	NA	NA	0.0320245343839542	2438.61095789127	180	beads	124	0.529267327779663	160.600532551556	24.942378606609	105.294326554938	0
CMOP_6	2013_253/1.evt	2013-09-10T16:49:35+0000	NA	NA	0.0320245343839542	2438.61095789127	180	crypto	677	2.8896288782809	582.380295777083	618.87214077851	130.588625569191	0
CMOP_6	2013_253/1.evt	2013-09-10T16:49:35+0000	NA	NA	0.0320245343839542	2438.61095789127	180	other	7590	32.3962824019971	141.605656191109	70.1119075889465	1.90271944053378	0
CMOP_6	2013_253/1.evt	2013-09-10T16:49:35+0000	NA	NA	0.0320245343839542	2438.61095789127	180	synecho	308	1.31463174964626	46.2390230509489	17.1139427526558	2.86965446233394	0
CMOP_6	2013_253/1.evt	2013-09-10T16:49:35+0000	NA	NA	0.0320245343839542	2438.61095789127	180	unknown	19913	84.9943572425518	97.4277952059983	3.86913409529666	1.25607156095234	0
CMOP_6	2013_253/2.evt	2013-09-10T16:52:35+0000	NA	NA	0.028140339134315	2472.19705629934	180	beads	41	0.196449166261886	145.988764540578	22.214831952715	95.6429411822373	0
CMOP_6	2013_253/2.evt	2013-09-10T16:52:35+0000	NA	NA	0.028140339134315	2472.19705629934	180	crypto	575	2.75507977074596	509.853320380794	667.306057242865	143.268213433289	0
CMOP_6	2013_253/2.evt	2013-09-10T16:52:35+0000	NA	NA	0.028140339134315	2472.19705629934	180	other	6709	32.1457916207559	123.560819510947	70.9366997663523	1.55738438961419	0
CMOP_6	2013_253/2.evt	2013-09-10T16:52:35+0000	NA	NA	0.028140339134315	2472.19705629934	180	synecho	288	1.37993560691276	41.4902271219202	16.9045782722433	2.90006463848106	0
CMOP_6	2013_253/2.evt	2013-09-10T16:52:35+0000	NA	NA	0.028140339134315	2472.19705629934	180	unknown	16603	79.5523294499046	89.2796866014156	3.87851806444369	1.19120560217099	0
CMOP_6	2013_253/3.evt	2013-09-10T16:55:36+0000	NA	NA	0.0253143263611197	2471.3437336	180	beads	22	0.117220048459693	125.081329635024	23.0753590053447	102.930538746625	0
CMOP_6	2013_253/3.evt	2013-09-10T16:55:36+0000	NA	NA	0.0253143263611197	2471.3437336	180	crypto	425	2.26447820888044	458.112382068075	682.89602440393	146.405639809717	0
CMOP_6	2013_253/3.evt	2013-09-10T16:55:36+0000	NA	NA	0.0253143263611197	2471.3437336	180	other	6034	32.1502623820813	107.330287559074	68.2079738883148	1.41785708894795	0
CMOP_6	2013_253/3.evt	2013-09-10T16:55:36+0000	NA	NA	0.0253143263611197	2471.3437336	180	synecho	282	1.50254789389243	38.0474798605037	17.2380301155316	2.84963328698543	0
CMOP_6	2013_253/3.evt	2013-09-10T16:55:36+0000	NA	NA	0.0253143263611197	2471.3437336	180	unknown	14305	76.219672418905	86.2210133292028	3.86944912548886	1.18844460565399	0
CMOP_6	2013_253/4.evt	2013-09-10T16:58:36+0000	NA	NA	0.0254915016563771	2472.19705629934	180	beads	14	0.0740505479146324	121.647135478437	26.4425116768068	120.580517109522	0
CMOP_6	2013_253/4.evt	2013-09-10T16:58:36+0000	NA	NA	0.0254915016563771	2472.19705629934	180	crypto	451	2.38548550782137	463.96490350042	666.479170731009	134.879602151251	0
CMOP_6	2013_253/4.evt	2013-09-10T16:58:36+0000	NA	NA	0.0254915016563771	2472.19705629934	180	other	6397	33.8358110721359	107.963782512999	68.7968712064705	1.51789452160382	0
CMOP_6	2013_253/4.evt	2013-09-10T16:58:36+0000	NA	NA	0.0254915016563771	2472.19705629934	180	synecho	295	1.56035083105832	39.1492827331584	24.518776752679	2.88179926674088	0
CMOP_6	2013_253/4.evt	2013-09-10T16:58:36+0000	NA	NA	0.0254915016563771	2472.19705629934	180	unknown	14512	76.7586822383675	80.912199739277	3.75565518128479	1.17932880116256	0
CMOP_6	2013_253/5.evt	2013-09-10T17:01:36+0000	NA	NA	0.0265648268801191	2472.19705629934	180	beads	12	0.0609073797363725	130.932598557372	30.0952012909994	130.220630884492	0
CMOP_6	2013_253/5.evt	2013-09-10T17:01:36+0000	NA	NA	0.0265648268801191	2472.19705629934	180	crypto	463	2.35000973482837	455.513066285622	685.157345364434	145.987726220567	0
CMOP_6	2013_253/5.evt	2013-09-10T17:01:36+0000	NA	NA	0.0265648268801191	2472.19705629934	180	other	6757	34.2959304065557	112.950287971984	77.5073732185492	1.72645718017645	0
CMOP_6	2013_253/5.evt	2013-09-10T17:01:36+0000	NA	NA	0.0265648268801191	2472.19705629934	180	synecho	305	1.54806256829947	40.0714601756569	17.9993186200905	2.7336000982093	0
CMOP_6	2013_253/5.evt	2013-09-10T17:01:36+0000	NA	NA	0.0265648268801191	2472.19705629934	180	unknown	15296	77.6366067039628	80.7163415415748	3.77263939515478	1.18085926049099	0
CMOP_6	2013_253/6.evt	2013-09-10T17:04:36+0000	NA	NA	0.0251938343967948	2472.19705629934	180	beads	3	0.0160554559990306	151.661076575863	29.8686302873877	129.645516242422	0
CMOP_6	2013_253/6.evt	2013-09-10T17:04:36+0000	NA	NA	0.0251938343967948	2472.19705629934	180	crypto	450	2.40831839985459	433.453981780106	667.188083549761	147.601493337136	0
CMOP_6	2013_253/6.evt	2013-09-10T17:04:36+0000	NA	NA	0.0251938343967948	2472.19705629934	180	other	6700	35.8571850645017	111.160109544206	74.872409559332	1.57134308895364	0
