time,cryp_cop,cryp_sd,tx_cop,tx_sd,percent,percent2
09/10/2013 09:51:00,2380000,367000,9439.32,237.2,0.0039661008,0.3966101
09/13/2013 10:00:00,2890000,149000,5169.9,237.91,0.0017888927,0.1788893
09/20/2013 14:20:00,1960000,162000,1206.21,21.09,0.0006154133,0.0615413
09/24/2013 15:34:00,525000,184000,420.61,39.22,0.0008011619,0.0801162
10/01/2013 11:40:00,966000,283000,2204.32,211.44,0.0022819048,0.2281905
