"i","n","fsc","chl","pe","file"
"crypto","6","58502","54840","48328","Ribalet.20140403.A.0012.fcs"
"beads","613","49953","29351","48509","Ribalet.20140403.A.0013.fcs"
"crypto","10","59240","60017","47442","Ribalet.20140403.A.0013.fcs"
"beads","399","50680","29544","48558","Ribalet.20140404.A.0001.fcs"
"crypto","110","55377","50630","49177","Ribalet.20140404.A.0001.fcs"
"beads","576","50550","29496","48490","Ribalet.20140404.A.0002.fcs"
"crypto","15","57536","50719","47269","Ribalet.20140404.A.0002.fcs"
"beads","851","50588","29355","48377","Ribalet.20140404.A.0003.fcs"
"crypto","12","59287","56094","49830","Ribalet.20140404.A.0003.fcs"
"beads","856","50546","29372","48368","Ribalet.20140404.A.0004.fcs"
"crypto","17","57724","61293","46194","Ribalet.20140404.A.0004.fcs"
"beads","367","50600","29549","48503","Ribalet.20140404.A.0005.fcs"
"crypto","0","0","0","48503","Ribalet.20140404.A.0005.fcs"
"beads","372","50601","29497","48461","Ribalet.20140404.A.0006.fcs"
"crypto","12","57912","47947","49434","Ribalet.20140404.A.0006.fcs"
"beads","575","50562","29418","48417","Ribalet.20140404.A.0007.fcs"
"crypto","8","53978","51924","49960","Ribalet.20140404.A.0007.fcs"
"beads","680","50476","29364","48353","Ribalet.20140404.A.0008.fcs"
"crypto","11","57312","57581","56873","Ribalet.20140404.A.0008.fcs"
"beads","477","50492","29406","48385","Ribalet.20140404.A.0009.fcs"
"crypto","10","58439","49524","51050","Ribalet.20140404.A.0009.fcs"
"beads","492","50512","29383","48367","Ribalet.20140404.A.0010.fcs"
"crypto","6","56454","50430","48409","Ribalet.20140404.A.0010.fcs"
"beads","1899","50359","30474","49459","Ribalet.20140826.A.0001.fcs"
"crypto","15","55506","52068","51506","Ribalet.20140826.A.0001.fcs"
"beads","565","50450","30471","49446","Ribalet.20140826.A.0002.fcs"
"crypto","8","57239","57424","55754","Ribalet.20140826.A.0002.fcs"
"beads","597","50377","30419","49445","Ribalet.20140826.A.0003.fcs"
"crypto","11","57251","54351","51106","Ribalet.20140826.A.0003.fcs"
"beads","513","50323","30419","49440","Ribalet.20140826.A.0004.fcs"
"crypto","6","57378","52104","48268","Ribalet.20140826.A.0004.fcs"
"beads","582","50392","30508","49461","Ribalet.20140826.A.0005.fcs"
"crypto","8","56514","58829","46816","Ribalet.20140826.A.0005.fcs"
"beads","519","50335","30520","49477","Ribalet.20140826.A.0006.fcs"
"crypto","8","58710","47306","44088","Ribalet.20140826.A.0006.fcs"
"beads","301","50386","30541","49492","Ribalet.20140826.A.0007.fcs"
"crypto","6","55393","51384","52364","Ribalet.20140826.A.0007.fcs"
