time[YYYY-MM-DD hh:mm:ss PST], turbidity
"2013/09/04 11:56:43", 4.650
"2013/09/04 11:56:45", 4.610
"2013/09/04 11:56:47", 4.710
"2013/09/04 11:56:49", 4.620
"2013/09/04 11:56:51", 4.890
"2013/09/04 11:56:53", 4.600
"2013/09/04 11:56:55", 4.610
"2013/09/04 11:56:57", 4.760
"2013/09/04 11:56:59", 4.570
"2013/09/04 11:57:01", 4.510
"2013/09/04 11:59:33", 4.290
"2013/09/04 11:59:35", 4.420
"2013/09/04 11:59:37", 4.400
"2013/09/04 11:59:39", 4.520
"2013/09/04 11:59:41", 4.390
"2013/09/04 11:59:43", 4.670
"2013/09/04 11:59:45", 4.450
"2013/09/04 11:59:47", 4.630
"2013/09/04 11:59:49", 4.580
"2013/09/04 11:59:51", 4.420
"2013/09/04 11:59:53", 4.420
"2013/09/04 11:59:55", 4.370
"2013/09/04 11:59:57", 4.400
"2013/09/04 11:59:59", 4.470
"2013/09/04 12:00:01", 4.360
"2013/09/04 12:02:33", 4.170
"2013/09/04 12:02:35", 4.260
"2013/09/04 12:02:37", 4.230
"2013/09/04 12:02:39", 4.330
"2013/09/04 12:02:41", 4.380
"2013/09/04 12:02:43", 4.260
"2013/09/04 12:02:45", 4.230
"2013/09/04 12:02:47", 4.100
"2013/09/04 12:02:49", 4.120
"2013/09/04 12:02:51", 4.180
"2013/09/04 12:02:53", 4.340
"2013/09/04 12:02:55", 4.320
"2013/09/04 12:02:57", 4.350
"2013/09/04 12:02:59", 4.350
"2013/09/04 12:03:01", 4.320
"2013/09/04 12:05:31", 4.200
"2013/09/04 12:05:33", 4.260
"2013/09/04 12:05:35", 4.290
"2013/09/04 12:05:37", 4.480
"2013/09/04 12:05:39", 4.370
"2013/09/04 12:05:41", 4.560
"2013/09/04 12:05:43", 4.300
"2013/09/04 12:05:45", 4.240
"2013/09/04 12:05:47", 4.280
"2013/09/04 12:05:49", 4.310
"2013/09/04 12:05:51", 4.190
"2013/09/04 12:05:53", 4.170
"2013/09/04 12:05:55", 4.180
"2013/09/04 12:05:57", 4.340
"2013/09/04 12:05:59", 4.270
"2013/09/04 12:06:01", 4.350
"2013/09/04 12:08:31", 4.640
"2013/09/04 12:08:33", 4.740
"2013/09/04 12:08:35", 4.260
"2013/09/04 12:08:37", 4.410
"2013/09/04 12:08:39", 4.580
"2013/09/04 12:08:41", 4.250
"2013/09/04 12:08:43", 4.220
"2013/09/04 12:08:45", 4.170
"2013/09/04 12:08:47", 4.140
"2013/09/04 12:08:49", 4.140
"2013/09/04 12:08:51", 4.160
"2013/09/04 12:08:53", 4.120
"2013/09/04 12:08:55", 4.160
"2013/09/04 12:08:57", 4.150
"2013/09/04 12:08:59", 4.190
"2013/09/04 12:09:01", 4.390
"2013/09/04 12:11:33", 4.160
"2013/09/04 12:11:35", 4.300
"2013/09/04 12:11:37", 4.240
"2013/09/04 12:11:39", 4.110
"2013/09/04 12:11:41", 4.290
"2013/09/04 12:11:43", 4.320
"2013/09/04 12:11:45", 4.190
"2013/09/04 12:11:47", 4.110
"2013/09/04 12:11:49", 4.110
"2013/09/04 12:11:51", 4.240
"2013/09/04 12:11:53", 4.160
"2013/09/04 12:11:55", 4.160
"2013/09/04 12:11:57", 4.260
"2013/09/04 12:11:59", 4.230
"2013/09/04 12:12:01", 4.270
"2013/09/04 12:17:33", 4.350
"2013/09/04 12:17:35", 4.190
"2013/09/04 12:17:37", 4.130
"2013/09/04 12:17:39", 4.160
"2013/09/04 12:17:41", 4.310
"2013/09/04 12:17:43", 4.140
"2013/09/04 12:17:45", 4.100
"2013/09/04 12:17:47", 4.120
"2013/09/04 12:17:49", 4.100
"2013/09/04 12:17:51", 4.000
"2013/09/04 12:17:53", 4.030
"2013/09/04 12:17:55", 4.100
"2013/09/04 12:17:57", 4.070
"2013/09/04 12:17:59", 4.130
"2013/09/04 12:18:01", 4.180
"2013/09/04 12:23:33", 4.030
"2013/09/04 12:23:35", 3.990
"2013/09/04 12:23:37", 4.050
"2013/09/04 12:23:39", 4.030
"2013/09/04 12:23:41", 4.030
"2013/09/04 12:23:43", 4.060
"2013/09/04 12:23:45", 4.140
"2013/09/04 12:23:47", 4.040
"2013/09/04 12:23:49", 4.090
"2013/09/04 12:23:51", 4.080
"2013/09/04 12:23:53", 4.030
"2013/09/04 12:23:55", 4.000
"2013/09/04 12:23:57", 4.050
"2013/09/04 12:23:59", 4.040
"2013/09/04 12:24:01", 3.980
"2013/09/04 12:26:33", 4.050
"2013/09/04 12:26:35", 4.290
"2013/09/04 12:26:37", 4.280
"2013/09/04 12:26:39", 4.150
"2013/09/04 12:26:41", 4.240
"2013/09/04 12:26:43", 4.240
"2013/09/04 12:26:45", 4.150
"2013/09/04 12:26:47", 4.180
"2013/09/04 12:26:49", 4.080
"2013/09/04 12:26:51", 4.000
"2013/09/04 12:26:53", 3.930
"2013/09/04 12:26:55", 4.000
"2013/09/04 12:26:57", 4.130
"2013/09/04 12:26:59", 4.030
"2013/09/04 12:27:01", 4.050
"2013/09/04 12:29:33", 4.190
"2013/09/04 12:29:35", 3.970
"2013/09/04 12:29:37", 4.100
"2013/09/04 12:29:39", 4.110
"2013/09/04 12:29:41", 4.340
"2013/09/04 12:29:43", 4.030
"2013/09/04 12:29:45", 4.010
"2013/09/04 12:29:47", 3.980
"2013/09/04 12:29:49", 3.930
"2013/09/04 12:29:51", 3.970
"2013/09/04 12:29:53", 4.040
"2013/09/04 12:29:55", 3.950
"2013/09/04 12:29:57", 4.150
"2013/09/04 12:29:59", 4.180
"2013/09/04 12:30:01", 4.270
"2013/09/04 12:32:33", 3.990
"2013/09/04 12:32:35", 3.940
"2013/09/04 12:32:37", 3.960
"2013/09/04 12:32:39", 3.940
"2013/09/04 12:32:41", 4.000
"2013/09/04 12:32:43", 3.990
"2013/09/04 12:32:45", 3.970
"2013/09/04 12:32:47", 4.000
"2013/09/04 12:32:49", 3.950
"2013/09/04 12:32:51", 3.920
"2013/09/04 12:32:53", 3.930
"2013/09/04 12:32:55", 3.880
"2013/09/04 12:32:57", 3.960
"2013/09/04 12:32:59", 3.930
"2013/09/04 12:33:01", 4.070
"2013/09/04 12:35:33", 4.020
"2013/09/04 12:35:35", 4.230
"2013/09/04 12:35:37", 6.490
"2013/09/04 12:35:39", 4.650
"2013/09/04 12:35:41", 3.990
"2013/09/04 12:35:43", 3.980
"2013/09/04 12:35:45", 3.960
"2013/09/04 12:35:47", 4.110
"2013/09/04 12:35:49", 4.050
"2013/09/04 12:35:51", 3.900
