time[YYYY-MM-DD hh:mm:ss PST], elevation, water_electrical_conductivity, water_salinity, water_pressure, water_temperature
"2013/10/01 01:08:37", 15.701, 27.094, 20.849, 15.701, 15.326
"2013/10/01 01:14:37", 15.635, 26.887, 20.672, 15.635, 15.329
"2013/10/01 01:18:37", 15.604, 26.842, 20.632, 15.604, 15.334
"2013/10/01 01:24:37", 15.573, 26.746, 20.546, 15.573, 15.344
"2013/10/01 01:26:37", 15.556, 26.704, 20.507, 15.556, 15.350
"2013/10/01 10:56:37", 0.000, 0.000, 0.000, 0.000, 14.863
"2013/10/01 11:00:38", 16.812, 34.783, 27.793, 16.812, 14.860
"2013/10/01 11:04:37", 0.000, 34.898, 0.000, 0.000, 14.853
"2013/10/01 11:06:37", 0.000, 34.956, 0.000, 0.000, 14.852
"2013/10/01 11:10:37", 16.798, 35.072, 28.030, 16.798, 14.849
"2013/10/01 11:12:37", 16.795, 35.089, 28.074, 16.795, 14.846
"2013/10/01 11:14:37", 16.789, 35.137, 28.117, 16.789, 14.845
"2013/10/01 11:16:37", 16.773, 35.193, 28.169, 16.773, 14.842
"2013/10/01 11:18:37", 16.771, 35.266, 28.236, 16.771, 14.839
"2013/10/01 11:22:37", 16.767, 35.372, 28.333, 16.767, 14.836
"2013/10/01 11:24:37", 16.763, 35.399, 0.000, 16.763, 14.836
"2013/10/01 11:26:37", 16.742, 35.405, 28.361, 16.742, 14.836
"2013/10/01 11:28:37", 16.752, 35.431, 28.385, 16.752, 14.836
"2013/10/01 11:30:37", 16.735, 35.455, 28.408, 16.735, 14.834
"2013/10/01 11:32:37", 16.731, 35.477, 28.428, 16.731, 14.834
"2013/10/01 11:34:38", 16.721, 35.486, 0.000, 16.721, 14.833
"2013/10/01 11:36:37", 16.716, 35.511, 28.458, 16.716, 14.832
"2013/10/01 11:38:37", 16.695, 35.542, 28.487, 16.695, 14.831
"2013/10/01 11:40:37", 16.710, 35.577, 28.520, 16.710, 14.830
"2013/10/01 11:42:38", 16.700, 35.605, 0.000, 16.700, 14.828
"2013/10/01 11:46:37", 16.680, 35.626, 28.563, 16.680, 14.829
"2013/10/01 11:48:37", 0.000, 35.646, 0.000, 0.000, 14.828
"2013/10/01 11:50:37", 16.641, 35.667, 28.601, 16.641, 14.828
