time[YYYY-MM-DD hh:mm:ss PST], water_salinity, water_electrical_conductivity, water_temperature
"2013/09/04 11:26:51", 18.227, 2.556, 18.165
"2013/09/04 11:26:56", 18.568, 2.585, 17.923
"2013/09/04 11:27:01", 19.571, 2.702, 17.750
"2013/09/04 11:29:36", 21.730, 2.893, 16.559
"2013/09/04 11:29:41", 21.774, 2.898, 16.545
"2013/09/04 11:29:46", 21.820, 2.902, 16.535
"2013/09/04 11:29:51", 21.823, 2.902, 16.522
"2013/09/04 11:29:56", 21.841, 2.903, 16.509
"2013/09/04 11:30:01", 21.839, 2.903, 16.502
"2013/09/04 11:32:36", 22.067, 2.922, 16.378
"2013/09/04 11:32:41", 22.071, 2.922, 16.372
"2013/09/04 11:32:46", 22.076, 2.923, 16.372
"2013/09/04 11:32:51", 22.060, 2.921, 16.372
"2013/09/04 11:32:56", 22.074, 2.922, 16.371
"2013/09/04 11:33:01", 22.044, 2.919, 16.373
"2013/09/04 11:35:31", 22.136, 2.929, 16.352
"2013/09/04 11:35:36", 22.237, 2.940, 16.350
"2013/09/04 11:35:41", 22.230, 2.939, 16.337
"2013/09/04 11:35:46", 22.202, 2.935, 16.335
"2013/09/04 11:35:56", 22.269, 2.943, 16.332
"2013/09/04 11:36:01", 22.318, 2.949, 16.328
"2013/09/04 11:38:36", 22.572, 2.974, 16.255
"2013/09/04 11:38:41", 22.483, 2.964, 16.260
"2013/09/04 11:38:46", 22.628, 2.981, 16.255
"2013/09/04 11:38:51", 22.575, 2.974, 16.240
"2013/09/04 11:38:56", 22.516, 2.967, 16.252
"2013/09/04 11:39:01", 22.523, 2.968, 16.254
"2013/09/04 11:39:06", 22.568, 2.974, 16.254
"2013/09/04 11:39:16", 22.727, 2.991, 16.229
"2013/09/04 11:39:21", 22.768, 2.995, 16.216
"2013/09/04 11:39:26", 22.735, 2.990, 16.206
"2013/09/04 11:39:31", 22.694, 2.986, 16.213
"2013/09/04 11:39:36", 22.693, 2.986, 16.213
"2013/09/04 11:39:41", 22.730, 2.991, 16.217
"2013/09/04 11:39:46", 22.783, 2.996, 16.206
"2013/09/04 11:39:56", 22.800, 2.998, 16.203
"2013/09/04 11:40:01", 22.914, 3.010, 16.186
"2013/09/04 11:41:36", 23.093, 3.026, 16.106
"2013/09/04 11:41:41", 23.075, 3.024, 16.109
"2013/09/04 11:41:46", 23.165, 3.035, 16.107
"2013/09/04 11:41:51", 23.192, 3.037, 16.098
"2013/09/04 11:41:56", 23.053, 3.021, 16.098
"2013/09/04 11:42:01", 23.094, 3.027, 16.110
"2013/09/04 11:47:36", 23.544, 3.077, 16.063
"2013/09/04 11:47:41", 23.426, 3.063, 16.067
"2013/09/04 11:47:46", 23.476, 3.070, 16.080
"2013/09/04 11:47:51", 23.474, 3.069, 16.077
"2013/09/04 11:47:56", 23.527, 3.075, 16.068
"2013/09/04 11:48:01", 23.572, 3.080, 16.059
"2013/09/04 11:50:36", 23.613, 3.081, 16.001
"2013/09/04 11:50:41", 23.535, 3.073, 16.026
"2013/09/04 11:50:46", 23.514, 3.071, 16.036
"2013/09/04 11:50:51", 23.616, 3.083, 16.036
"2013/09/04 11:50:56", 23.614, 3.082, 16.024
"2013/09/04 11:51:01", 23.641, 3.085, 16.022
"2013/09/04 11:53:36", 23.535, 3.075, 16.054
"2013/09/04 11:53:41", 23.599, 3.082, 16.044
"2013/09/04 11:53:46", 23.675, 3.090, 16.030
"2013/09/04 11:53:51", 23.706, 3.093, 16.022
"2013/09/04 11:53:56", 23.783, 3.101, 16.005
"2013/09/04 11:54:01", 23.903, 3.114, 15.992
"2013/09/04 11:56:36", 24.282, 3.151, 15.888
"2013/09/04 11:56:41", 24.294, 3.152, 15.882
"2013/09/04 11:56:46", 24.316, 3.155, 15.879
"2013/09/04 11:56:51", 24.335, 3.157, 15.873
"2013/09/04 11:56:56", 24.295, 3.152, 15.867
"2013/09/04 11:57:01", 24.303, 3.153, 15.871
"2013/09/04 11:59:36", 24.378, 3.160, 15.845
"2013/09/04 11:59:41", 24.455, 3.168, 15.831
"2013/09/04 11:59:46", 24.404, 3.162, 15.829
"2013/09/04 11:59:51", 24.466, 3.169, 15.827
"2013/09/04 11:59:56", 24.548, 3.177, 15.812
"2013/09/04 12:00:01", 24.531, 3.175, 15.803
"2013/09/04 12:02:36", 25.125, 3.228, 15.587
"2013/09/04 12:02:41", 25.068, 3.222, 15.594
"2013/09/04 12:02:46", 24.925, 3.207, 15.613
"2013/09/04 12:02:51", 24.989, 3.215, 15.630
"2013/09/04 12:02:56", 25.045, 3.222, 15.625
"2013/09/04 12:03:01", 25.094, 3.227, 15.623
"2013/09/04 12:05:31", 24.999, 3.218, 15.648
