time[YYYY-MM-DD hh:mm:ss PST], oxygensat, oxygen
"2013/10/01 00:23:00", 79.755, 5.297
"2013/10/01 00:26:00", 79.898, 5.319
"2013/10/01 00:29:00", 79.845, 5.325
"2013/10/01 00:32:00", 79.980, 5.324
"2013/10/01 00:35:00", 80.077, 5.322
"2013/10/01 00:38:00", 80.059, 5.321
"2013/10/01 00:39:00", 80.099, 5.326
"2013/10/01 00:41:00", 80.159, 5.327
"2013/10/01 00:44:00", 80.139, 5.329
"2013/10/01 00:47:00", 80.109, 5.327
"2013/10/01 00:50:00", 80.007, 5.325
"2013/10/01 00:53:00", 79.919, 5.315
"2013/10/01 00:56:00", 80.014, 5.334
"2013/10/01 00:59:00", 80.051, 5.357
"2013/10/01 01:02:00", 80.088, 5.360
"2013/10/01 01:05:00", 80.064, 5.365
"2013/10/01 01:08:00", 79.974, 5.353
"2013/10/01 01:11:00", 80.056, 5.371
"2013/10/01 01:14:00", 79.828, 5.346
"2013/10/01 01:17:00", 80.037, 5.383
"2013/10/01 01:23:00", 79.843, 5.352
"2013/10/01 01:26:00", 80.501, 5.448
"2013/10/01 10:32:00", 83.889, 5.315
"2013/10/01 10:35:00", 84.352, 5.364
"2013/10/01 10:43:00", 84.378, 5.412
"2013/10/01 10:44:00", 84.918, 5.441
"2013/10/01 10:45:00", 84.622, 5.426
"2013/10/01 10:46:00", 84.575, 5.411
"2013/10/01 10:47:00", 85.070, 5.437
"2013/10/01 10:48:00", 85.131, 5.437
"2013/10/01 10:56:00", 84.335, 5.419
"2013/10/01 10:59:00", 83.929, 5.430
"2013/10/01 11:02:00", 84.424, 5.440
"2013/10/01 11:05:00", 84.787, 5.470
"2013/10/01 11:08:00", 84.463, 5.454
"2013/10/01 11:11:00", 83.526, 5.427
"2013/10/01 11:14:00", 84.045, 5.450
"2013/10/01 11:17:00", 84.511, 5.484
"2013/10/01 11:23:00", 83.344, 5.430
"2013/10/01 11:26:00", 83.099, 5.423
"2013/10/01 11:29:00", 83.261, 5.437
"2013/10/01 11:32:00", 83.463, 5.473
"2013/10/01 11:35:00", 83.867, 5.511
"2013/10/01 11:38:00", 83.666, 5.499
"2013/10/01 11:39:00", 83.762, 5.511
"2013/10/01 11:41:00", 83.813, 5.507
"2013/10/01 11:44:00", 83.666, 5.499
"2013/10/01 11:47:00", 83.769, 5.520
"2013/10/01 11:50:00", 83.966, 5.541
"2013/10/01 11:53:00", 83.809, 5.530
"2013/10/01 11:56:00", 83.696, 5.539
"2013/10/01 11:57:00", 83.726, 5.545
"2013/10/01 11:59:00", 83.525, 5.520
"2013/10/01 12:02:00", 83.598, 5.518
"2013/10/01 12:05:00", 83.540, 5.514
"2013/10/01 12:08:00", 83.520, 5.515
"2013/10/01 12:11:00", 82.910, 5.468
"2013/10/01 12:14:00", 82.876, 5.470
"2013/10/01 12:15:00", 82.996, 5.477
"2013/10/01 12:17:00", 82.416, 5.445
"2013/10/01 12:23:00", 81.674, 5.398
"2013/10/01 12:26:00", 82.249, 5.448
"2013/10/01 12:29:00", 82.519, 5.465
"2013/10/01 12:32:00", 82.578, 5.453
"2013/10/01 12:35:00", 82.809, 5.476
"2013/10/01 12:38:00", 83.068, 5.473
"2013/10/01 12:39:00", 83.083, 5.483
"2013/10/01 12:41:00", 83.000, 5.471
"2013/10/01 12:44:00", 83.260, 5.503
"2013/10/01 12:47:00", 83.232, 5.508
"2013/10/01 12:50:00", 83.147, 5.499
"2013/10/01 12:53:00", 83.025, 5.489
"2013/10/01 12:59:00", 82.598, 5.478
"2013/10/01 13:02:00", 82.528, 5.465
"2013/10/01 13:05:00", 82.467, 5.461
"2013/10/01 13:08:00", 82.602, 5.459
"2013/10/01 13:11:00", 82.607, 5.460
"2013/10/01 13:14:00", 82.678, 5.451
"2013/10/01 13:17:00", 81.841, 5.391
"2013/10/01 13:18:00", 81.826, 5.392
"2013/10/01 13:23:00", 81.595, 5.388
"2013/10/01 13:26:00", 82.006, 5.428
"2013/10/01 13:29:00", 82.031, 5.429
"2013/10/01 13:32:00", 81.913, 5.435
"2013/10/01 13:33:00", 81.958, 5.437
"2013/10/01 13:35:00", 81.914, 5.448
"2013/10/01 13:38:00", 81.826, 5.438
"2013/10/01 13:39:00", 81.846, 5.446
"2013/10/01 13:41:00", 81.813, 5.436
"2013/10/01 13:44:00", 81.734, 5.438
"2013/10/01 13:47:00", 81.686, 5.437
"2013/10/01 13:50:00", 81.759, 5.436
"2013/10/01 13:53:00", 81.730, 5.444
"2013/10/01 13:56:00", 81.772, 5.439
"2013/10/01 13:59:00", 81.643, 5.441
"2013/10/01 14:00:00", 81.653, 5.444
"2013/10/01 14:02:00", 81.579, 5.446
"2013/10/01 14:05:00", 81.429, 5.434
"2013/10/01 14:08:00", 81.655, 5.455
"2013/10/01 14:11:00", 81.650, 5.447
"2013/10/01 14:14:00", 81.610, 5.444
"2013/10/01 14:17:00", 81.802, 5.473
"2013/10/01 14:23:00", 81.485, 5.442
"2013/10/01 14:26:00", 81.431, 5.445
"2013/10/01 14:29:00", 81.642, 5.458
"2013/10/01 14:32:00", 81.897, 5.481
"2013/10/01 14:35:00", 82.140, 5.490
"2013/10/01 14:38:00", 82.214, 5.512
"2013/10/01 14:39:00", 82.216, 5.514
"2013/10/01 14:41:00", 82.085, 5.499
"2013/10/01 14:44:00", 81.983, 5.483
"2013/10/01 14:47:00", 81.776, 5.479
"2013/10/01 14:50:00", 81.927, 5.500
"2013/10/01 14:53:00", 82.124, 5.522
"2013/10/01 14:56:00", 82.045, 5.514
"2013/10/01 14:59:00", 82.104, 5.520
"2013/10/01 15:02:00", 82.148, 5.516
"2013/10/01 15:05:00", 81.997, 5.502
"2013/10/01 15:08:00", 82.099, 5.511
"2013/10/01 15:11:00", 82.089, 5.513
"2013/10/01 15:17:00", 81.675, 5.492
"2013/10/01 15:23:00", 81.311, 5.477
"2013/10/01 15:26:00", 81.351, 5.482
"2013/10/01 15:27:00", 81.298, 5.482
"2013/10/01 15:29:00", 81.386, 5.485
"2013/10/01 15:32:00", 81.408, 5.481
"2013/10/01 15:35:00", 81.508, 5.482
"2013/10/01 15:38:00", 81.518, 5.489
"2013/10/01 15:39:00", 81.581, 5.493
"2013/10/01 15:41:00", 81.513, 5.487
"2013/10/01 15:44:00", 81.483, 5.477
"2013/10/01 15:47:00", 81.287, 5.469
"2013/10/01 15:48:00", 81.310, 5.471
"2013/10/01 15:50:00", 81.208, 5.467
"2013/10/01 15:53:00", 80.988, 5.467
