time[YYYY-MM-DD hh:mm:ss PST], q_yield, fm, fo
"2013/10/01 00:23:50", 0.306, 1151.000, 798.000
"2013/10/01 00:23:54", 0.329, 1184.000, 794.000
"2013/10/01 00:23:57", 0.356, 1150.000, 740.000
"2013/10/01 00:26:49", 0.319, 1135.000, 772.000
"2013/10/01 00:26:52", 0.299, 1150.000, 806.000
"2013/10/01 00:26:56", 0.277, 1094.000, 790.000
"2013/10/01 00:27:00", 0.274, 1057.000, 767.000
"2013/10/01 00:29:47", 0.268, 1133.000, 829.000
"2013/10/01 00:29:51", 0.315, 1192.000, 816.000
"2013/10/01 00:29:54", 0.337, 1172.000, 777.000
"2013/10/01 00:29:58", 0.296, 1102.000, 775.000
"2013/10/01 00:32:47", 0.389, 1163.000, 710.000
"2013/10/01 00:32:50", 0.292, 1137.000, 804.000
"2013/10/01 00:32:54", 0.320, 1137.000, 773.000
"2013/10/01 00:32:58", 0.344, 1148.000, 753.000
"2013/10/01 00:35:49", 0.330, 1108.000, 742.000
"2013/10/01 00:35:52", 0.325, 1131.000, 763.000
"2013/10/01 00:35:56", 0.357, 1169.000, 751.000
"2013/10/01 00:36:00", 0.357, 1178.000, 757.000
"2013/10/01 00:38:47", 0.359, 1171.000, 750.000
"2013/10/01 00:38:51", 0.316, 1117.000, 764.000
"2013/10/01 00:38:58", 0.379, 1112.000, 690.000
"2013/10/01 00:39:02", 0.271, 1042.000, 759.000
"2013/10/01 00:39:06", 0.313, 1112.000, 763.000
"2013/10/01 00:39:09", 0.385, 1114.000, 685.000
"2013/10/01 00:39:13", 0.375, 1149.000, 717.000
"2013/10/01 00:39:16", 0.328, 1101.000, 739.000
"2013/10/01 00:39:20", 0.326, 1119.000, 754.000
"2013/10/01 00:39:24", 0.287, 1108.000, 789.000
"2013/10/01 00:39:27", 0.316, 1155.000, 790.000
"2013/10/01 00:39:31", 0.337, 1145.000, 758.000
"2013/10/01 00:39:35", 0.341, 1141.000, 751.000
"2013/10/01 00:39:38", 0.329, 1113.000, 746.000
"2013/10/01 00:39:42", 0.294, 1075.000, 758.000
"2013/10/01 00:39:46", 0.335, 1143.000, 760.000
"2013/10/01 00:39:49", 0.313, 1140.000, 783.000
"2013/10/01 00:39:53", 0.349, 1173.000, 763.000
"2013/10/01 00:39:57", 0.330, 1115.000, 746.000
"2013/10/01 00:40:00", 0.348, 1150.000, 749.000
"2013/10/01 00:41:47", 0.294, 1135.000, 801.000
"2013/10/01 00:41:50", 0.329, 1110.000, 744.000
"2013/10/01 00:41:54", 0.310, 1124.000, 775.000
"2013/10/01 00:41:58", 0.357, 1153.000, 741.000
"2013/10/01 00:44:49", 0.333, 1126.000, 750.000
"2013/10/01 00:44:53", 0.350, 1198.000, 778.000
"2013/10/01 00:44:56", 0.336, 1111.000, 737.000
"2013/10/01 00:45:00", 0.327, 1099.000, 739.000
"2013/10/01 00:47:47", 0.280, 1081.000, 778.000
"2013/10/01 00:47:51", 0.305, 1138.000, 790.000
"2013/10/01 00:47:58", 0.320, 1081.000, 734.000
"2013/10/01 00:50:46", 0.287, 1154.000, 822.000
"2013/10/01 00:50:50", 0.332, 1131.000, 755.000
"2013/10/01 00:50:53", 0.331, 1123.000, 751.000
"2013/10/01 00:50:57", 0.285, 1074.000, 767.000
"2013/10/01 00:53:46", 0.235, 1064.000, 813.000
"2013/10/01 00:53:49", 0.314, 1065.000, 730.000
"2013/10/01 00:53:53", 0.345, 1087.000, 711.000
"2013/10/01 00:53:56", 0.379, 1117.000, 693.000
"2013/10/01 00:54:00", 0.359, 1101.000, 705.000
"2013/10/01 00:56:48", 0.301, 1101.000, 769.000
"2013/10/01 00:56:51", 0.262, 1058.000, 780.000
"2013/10/01 00:56:55", 0.375, 1124.000, 702.000
"2013/10/01 00:56:59", 0.341, 1192.000, 785.000
"2013/10/01 00:59:46", 0.283, 1113.000, 798.000
"2013/10/01 00:59:50", 0.307, 1143.000, 791.000
"2013/10/01 00:59:53", 0.411, 1193.000, 702.000
"2013/10/01 00:59:57", 0.341, 1155.000, 761.000
"2013/10/01 01:02:46", 0.365, 1181.000, 749.000
"2013/10/01 01:02:49", 0.269, 1157.000, 845.000
"2013/10/01 01:02:53", 0.339, 1168.000, 772.000
"2013/10/01 01:02:57", 0.293, 1118.000, 790.000
"2013/10/01 01:03:00", 0.219, 1133.000, 884.000
"2013/10/01 01:05:48", 0.334, 1100.000, 732.000
"2013/10/01 01:05:51", 0.355, 1123.000, 724.000
"2013/10/01 01:05:55", 0.321, 1154.000, 783.000
"2013/10/01 01:05:59", 0.313, 1143.000, 785.000
"2013/10/01 01:08:46", 0.332, 1148.000, 766.000
"2013/10/01 01:08:50", 0.314, 1138.000, 780.000
"2013/10/01 01:08:54", 0.338, 1141.000, 755.000
"2013/10/01 01:08:57", 0.309, 1140.000, 787.000
"2013/10/01 01:11:49", 0.330, 1124.000, 753.000
"2013/10/01 01:11:53", 0.271, 1112.000, 810.000
"2013/10/01 01:11:57", 0.360, 1150.000, 736.000
