time[YYYY-MM-DD hh:mm:ss PST], q_yield, fm, fo
"2013/10/01 01:12:00", 0.371, 1158.000, 728.000
"2013/10/01 01:14:48", 0.271, 1182.000, 861.000
"2013/10/01 01:14:52", 0.235, 1129.000, 863.000
"2013/10/01 01:14:55", 0.295, 1201.000, 846.000
"2013/10/01 01:14:59", 0.295, 1158.000, 816.000
"2013/10/01 01:17:46", 0.332, 1133.000, 756.000
"2013/10/01 01:17:50", 0.275, 1135.000, 822.000
"2013/10/01 01:17:54", 0.284, 1138.000, 814.000
"2013/10/01 01:17:57", 0.354, 1138.000, 735.000
"2013/10/01 01:23:48", 0.288, 1126.000, 801.000
"2013/10/01 01:23:52", 0.300, 1078.000, 754.000
"2013/10/01 01:23:55", 0.248, 1109.000, 833.000
"2013/10/01 01:23:59", 0.310, 1140.000, 786.000
"2013/10/01 01:26:47", 0.391, 1238.000, 753.000
"2013/10/01 01:26:50", 0.368, 1229.000, 776.000
"2013/10/01 01:26:54", 0.298, 1172.000, 822.000
"2013/10/01 01:26:58", 0.411, 1238.000, 729.000
"2013/10/01 10:32:49", 0.346, 1283.000, 838.000
"2013/10/01 10:32:53", 0.351, 1236.000, 801.000
"2013/10/01 10:32:57", 0.322, 1243.000, 842.000
"2013/10/01 10:33:00", 0.303, 1249.000, 870.000
"2013/10/01 10:35:48", 0.363, 1330.000, 847.000
"2013/10/01 10:35:51", 0.357, 1267.000, 814.000
"2013/10/01 10:35:55", 0.331, 1226.000, 819.000
"2013/10/01 10:35:59", 0.357, 1249.000, 803.000
"2013/10/01 10:43:38", 0.306, 1200.000, 832.000
"2013/10/01 10:43:42", 0.296, 1188.000, 836.000
"2013/10/01 10:43:45", 0.317, 1246.000, 850.000
"2013/10/01 10:43:49", 0.256, 1174.000, 873.000
"2013/10/01 10:43:53", 0.253, 1149.000, 858.000
"2013/10/01 10:43:56", 0.327, 1254.000, 843.000
"2013/10/01 10:44:00", 0.280, 1158.000, 833.000
"2013/10/01 10:44:04", 0.293, 1189.000, 840.000
"2013/10/01 10:44:07", 0.334, 1283.000, 854.000
"2013/10/01 10:44:11", 0.308, 1188.000, 821.000
"2013/10/01 10:44:15", 0.315, 1229.000, 841.000
"2013/10/01 10:44:18", 0.314, 1226.000, 840.000
"2013/10/01 10:44:22", 0.322, 1216.000, 824.000
"2013/10/01 10:44:26", 0.297, 1246.000, 875.000
"2013/10/01 10:44:29", 0.314, 1213.000, 831.000
"2013/10/01 10:44:33", 0.342, 1291.000, 849.000
"2013/10/01 10:44:36", 0.334, 1267.000, 843.000
"2013/10/01 10:44:40", 0.296, 1226.000, 863.000
"2013/10/01 10:44:44", 0.271, 1177.000, 858.000
"2013/10/01 10:44:47", 0.308, 1251.000, 865.000
"2013/10/01 10:44:51", 0.304, 1252.000, 871.000
"2013/10/01 10:44:55", 0.316, 1215.000, 831.000
"2013/10/01 10:44:58", 0.283, 1211.000, 868.000
"2013/10/01 10:45:02", 0.269, 1197.000, 875.000
"2013/10/01 10:45:06", 0.322, 1199.000, 812.000
"2013/10/01 10:45:09", 0.271, 1233.000, 898.000
"2013/10/01 10:45:13", 0.329, 1203.000, 807.000
"2013/10/01 10:45:16", 0.294, 1207.000, 851.000
"2013/10/01 10:45:20", 0.289, 1169.000, 830.000
"2013/10/01 10:45:24", 0.340, 1226.000, 808.000
"2013/10/01 10:45:27", 0.348, 1254.000, 817.000
"2013/10/01 10:45:31", 0.302, 1220.000, 851.000
"2013/10/01 10:45:35", 0.287, 1181.000, 842.000
"2013/10/01 10:45:39", 0.263, 1183.000, 871.000
"2013/10/01 10:45:43", 0.306, 1197.000, 830.000
"2013/10/01 10:45:47", 0.326, 1254.000, 844.000
"2013/10/01 10:45:50", 0.330, 1261.000, 844.000
"2013/10/01 10:45:54", 0.354, 1310.000, 846.000
"2013/10/01 10:45:58", 0.318, 1251.000, 853.000
"2013/10/01 10:46:01", 0.303, 1265.000, 881.000
"2013/10/01 10:46:05", 0.323, 1275.000, 862.000
"2013/10/01 10:46:08", 0.340, 1243.000, 820.000
"2013/10/01 10:46:12", 0.301, 1196.000, 835.000
"2013/10/01 10:46:16", 0.319, 1191.000, 810.000
"2013/10/01 10:46:19", 0.319, 1224.000, 833.000
"2013/10/01 10:46:23", 0.285, 1186.000, 847.000
"2013/10/01 10:46:27", 0.298, 1181.000, 829.000
"2013/10/01 10:46:30", 0.313, 1198.000, 822.000
"2013/10/01 10:46:34", 0.315, 1177.000, 806.000
"2013/10/01 10:46:38", 0.333, 1265.000, 843.000
"2013/10/01 10:46:41", 0.282, 1178.000, 845.000
"2013/10/01 10:46:45", 0.236, 1148.000, 877.000
"2013/10/01 10:46:48", 0.307, 1194.000, 827.000
"2013/10/01 10:46:52", 0.331, 1201.000, 803.000
"2013/10/01 10:46:56", 0.287, 1212.000, 863.000
"2013/10/01 10:46:59", 0.301, 1215.000, 849.000
"2013/10/01 10:47:07", 0.301, 1245.000, 870.000
"2013/10/01 10:47:10", 0.315, 1260.000, 862.000
"2013/10/01 10:47:14", 0.345, 1236.000, 809.000
"2013/10/01 10:47:18", 0.306, 1192.000, 827.000
"2013/10/01 10:47:21", 0.348, 1221.000, 795.000
"2013/10/01 10:47:25", 0.312, 1188.000, 817.000
"2013/10/01 10:47:29", 0.315, 1181.000, 808.000
"2013/10/01 10:47:32", 0.351, 1228.000, 796.000
"2013/10/01 10:47:36", 0.341, 1261.000, 830.000
"2013/10/01 10:47:39", 0.321, 1225.000, 831.000
"2013/10/01 10:47:43", 0.327, 1232.000, 828.000
"2013/10/01 10:47:47", 0.339, 1229.000, 812.000
"2013/10/01 10:47:50", 0.283, 1210.000, 867.000
"2013/10/01 10:47:54", 0.295, 1187.000, 836.000
"2013/10/01 10:47:58", 0.370, 1227.000, 773.000
"2013/10/01 10:48:01", 0.279, 1179.000, 850.000
"2013/10/01 10:48:05", 0.351, 1303.000, 845.000
"2013/10/01 10:56:43", 0.308, 1216.000, 841.000
"2013/10/01 10:56:46", 0.319, 1233.000, 839.000
"2013/10/01 10:56:50", 0.331, 1238.000, 828.000
"2013/10/01 10:56:54", 0.321, 1196.000, 812.000
"2013/10/01 10:56:57", 0.300, 1208.000, 845.000
"2013/10/01 10:59:41", 0.332, 1230.000, 821.000
"2013/10/01 10:59:45", 0.324, 1256.000, 848.000
"2013/10/01 10:59:49", 0.357, 1313.000, 844.000
"2013/10/01 10:59:52", 0.376, 1308.000, 815.000
"2013/10/01 10:59:56", 0.319, 1300.000, 885.000
"2013/10/01 10:59:59", 0.331, 1341.000, 896.000
"2013/10/01 11:02:41", 0.335, 1244.000, 827.000
"2013/10/01 11:02:44", 0.307, 1261.000, 873.000
"2013/10/01 11:02:48", 0.302, 1223.000, 853.000
"2013/10/01 11:02:52", 0.326, 1255.000, 845.000
"2013/10/01 11:02:55", 0.293, 1231.000, 870.000
"2013/10/01 11:02:59", 0.298, 1099511627776.000, 1258.000
"2013/10/01 11:05:43", 0.249, 1202.000, 902.000
"2013/10/01 11:05:46", 0.367, 1316.000, 832.000
"2013/10/01 11:05:50", 0.300, 1220.000, 854.000
"2013/10/01 11:05:54", 0.306, 1281.000, 888.000
"2013/10/01 11:05:57", 0.342, 1244.000, 818.000
"2013/10/01 11:08:46", 0.325, 1264.000, 852.000
"2013/10/01 11:08:49", 0.284, 1242.000, 889.000
"2013/10/01 11:08:53", 0.287, 1265.000, 901.000
"2013/10/01 11:08:57", 0.362, 1317.000, 839.000
"2013/10/01 11:09:00", 0.304, 1233.000, 857.000
"2013/10/01 11:11:41", 0.263, 1196.000, 881.000
"2013/10/01 11:11:44", 0.319, 1263.000, 859.000
"2013/10/01 11:11:48", 0.258, 1217.000, 903.000
"2013/10/01 11:11:52", 0.317, 1270.000, 867.000
"2013/10/01 11:11:55", 0.301, 1221.000, 853.000
"2013/10/01 11:11:59", 0.306, 1271.000, 882.000
"2013/10/01 11:14:43", 0.302, 1271.000, 886.000
"2013/10/01 11:14:46", 0.295, 1258.000, 886.000
"2013/10/01 11:14:50", 0.284, 1246.000, 891.000
"2013/10/01 11:14:54", 0.319, 1301.000, 885.000
"2013/10/01 11:14:57", 0.303, 1255.000, 874.000
"2013/10/01 11:17:42", 0.291, 1230.000, 871.000
"2013/10/01 11:17:46", 0.290, 1242.000, 881.000
"2013/10/01 11:17:49", 0.328, 1243.000, 835.000
"2013/10/01 11:17:53", 0.308, 1259.000, 871.000
"2013/10/01 11:17:57", 0.314, 1254.000, 859.000
"2013/10/01 11:18:00", 0.272, 1262.000, 918.000
"2013/10/01 11:23:43", 0.278, 1198.000, 864.000
"2013/10/01 11:23:46", 0.319, 1263.000, 859.000
"2013/10/01 11:23:50", 0.301, 1255.000, 876.000
"2013/10/01 11:23:54", 0.307, 1259.000, 872.000
"2013/10/01 11:23:57", 0.255, 1219.000, 907.000
"2013/10/01 11:26:42", 0.314, 1288.000, 883.000
"2013/10/01 11:26:46", 0.292, 1276.000, 903.000
"2013/10/01 11:26:49", 0.263, 1284.000, 946.000
"2013/10/01 11:26:57", 0.285, 1308.000, 935.000
"2013/10/01 11:27:00", 0.286, 1277.000, 911.000
"2013/10/01 11:29:41", 0.336, 1407.000, 933.000
"2013/10/01 11:29:44", 0.292, 1365.000, 966.000
"2013/10/01 11:29:48", 0.288, 1335.000, 950.000
"2013/10/01 11:29:51", 0.290, 1399.000, 992.000
"2013/10/01 11:29:55", 0.316, 1397.000, 955.000
"2013/10/01 11:29:59", 0.269, 1367.000, 999.000
"2013/10/01 11:32:43", 0.335, 1587.000, 1055.000
"2013/10/01 11:32:46", 0.348, 1610.000, 1049.000
"2013/10/01 11:32:50", 0.301, 1484.000, 1037.000
"2013/10/01 11:32:54", 0.270, 1451.000, 1059.000
"2013/10/01 11:32:57", 0.295, 1524.000, 1074.000
"2013/10/01 11:35:42", 0.321, 1631.000, 1107.000
"2013/10/01 11:35:46", 0.354, 1646.000, 1062.000
"2013/10/01 11:35:49", 0.346, 1537.000, 1005.000
"2013/10/01 11:35:53", 0.296, 1459.000, 1026.000
"2013/10/01 11:35:57", 0.309, 1575.000, 1087.000
"2013/10/01 11:36:00", 0.320, 1520.000, 1033.000
"2013/10/01 11:38:41", 0.320, 1468.000, 997.000
"2013/10/01 11:38:44", 0.324, 1496.000, 1010.000
"2013/10/01 11:38:48", 0.335, 1534.000, 1019.000
"2013/10/01 11:38:51", 0.307, 1448.000, 1003.000
"2013/10/01 11:38:55", 0.286, 1442.000, 1029.000
"2013/10/01 11:38:59", 0.327, 1503.000, 1011.000
"2013/10/01 11:39:02", 0.295, 1439.000, 1014.000
"2013/10/01 11:39:06", 0.248, 1391.000, 1045.000
"2013/10/01 11:39:10", 0.322, 1391.000, 942.000
"2013/10/01 11:39:13", 0.296, 1376.000, 968.000
"2013/10/01 11:39:17", 0.299, 1384.000, 969.000
"2013/10/01 11:39:21", 0.252, 1396.000, 1043.000
"2013/10/01 11:39:24", 0.315, 1495.000, 1024.000
"2013/10/01 11:39:28", 0.289, 1422.000, 1011.000
"2013/10/01 11:39:31", 0.309, 1457.000, 1006.000
"2013/10/01 11:39:35", 0.318, 1498.000, 1021.000
"2013/10/01 11:39:39", 0.302, 1497.000, 1044.000
"2013/10/01 11:39:42", 0.299, 1454.000, 1018.000
"2013/10/01 11:39:46", 0.298, 1419.000, 996.000
"2013/10/01 11:39:50", 0.259, 1473.000, 1091.000
"2013/10/01 11:39:53", 0.263, 1472.000, 1084.000
"2013/10/01 11:39:57", 0.270, 1435.000, 1047.000
"2013/10/01 11:41:43", 0.274, 1364.000, 989.000
"2013/10/01 11:41:47", 0.263, 1321.000, 973.000
"2013/10/01 11:41:50", 0.303, 1488.000, 1036.000
"2013/10/01 11:41:55", 0.322, 1394.000, 944.000
"2013/10/01 11:41:58", 0.320, 1543.000, 1048.000
"2013/10/01 11:44:42", 0.306, 1531.000, 1062.000
"2013/10/01 11:44:46", 0.315, 1512.000, 1035.000
"2013/10/01 11:44:49", 0.329, 1535.000, 1029.000
"2013/10/01 11:44:53", 0.316, 1551.000, 1060.000
"2013/10/01 11:44:57", 0.346, 1593.000, 1041.000
"2013/10/01 11:45:00", 0.355, 1651.000, 1064.000
"2013/10/01 11:47:41", 0.361, 1860.000, 1187.000
"2013/10/01 11:47:44", 0.347, 1930.000, 1260.000
"2013/10/01 11:47:48", 0.328, 1776.000, 1193.000
"2013/10/01 11:47:52", 0.352, 1755.000, 1137.000
"2013/10/01 11:47:55", 0.335, 1733.000, 1152.000
"2013/10/01 11:50:43", 0.355, 1870.000, 1206.000
"2013/10/01 11:50:46", 0.353, 1895.000, 1225.000
"2013/10/01 11:50:50", 0.344, 1924.000, 1261.000
"2013/10/01 11:50:54", 0.337, 1860.000, 1232.000
"2013/10/01 11:50:57", 0.340, 1914.000, 1263.000
"2013/10/01 11:53:42", 0.322, 1558.000, 1056.000
"2013/10/01 11:53:46", 0.303, 1517.000, 1057.000
"2013/10/01 11:53:49", 0.314, 1543.000, 1058.000
"2013/10/01 11:53:53", 0.330, 1549.000, 1037.000
"2013/10/01 11:53:57", 0.265, 1514.000, 1112.000
"2013/10/01 11:54:00", 0.299, 1577.000, 1105.000
"2013/10/01 11:56:41", 0.316, 1643.000, 1123.000
"2013/10/01 11:56:44", 0.340, 1653.000, 1090.000
"2013/10/01 11:56:48", 0.302, 1572.000, 1097.000
"2013/10/01 11:56:52", 0.329, 1593.000, 1068.000
"2013/10/01 11:56:55", 0.286, 1570.000, 1120.000
"2013/10/01 11:57:00", 0.335, 1609.000, 1069.000
"2013/10/01 11:59:43", 0.278, 1543.000, 1113.000
"2013/10/01 11:59:46", 0.304, 1530.000, 1064.000
"2013/10/01 11:59:50", 0.352, 1615.000, 1046.000
"2013/10/01 11:59:54", 0.352, 1612.000, 1043.000
"2013/10/01 11:59:57", 0.314, 1598.000, 1096.000
"2013/10/01 12:02:42", 0.315, 1646.000, 1127.000
"2013/10/01 12:02:46", 0.355, 1729.000, 1114.000
"2013/10/01 12:02:49", 0.348, 1657.000, 1080.000
"2013/10/01 12:02:57", 0.348, 1777.000, 1157.000
"2013/10/01 12:03:00", 0.364, 1760.000, 1119.000
"2013/10/01 12:05:41", 0.313, 1616.000, 1109.000
"2013/10/01 12:05:44", 0.350, 1557.000, 1011.000
"2013/10/01 12:05:48", 0.292, 1473.000, 1042.000
"2013/10/01 12:05:52", 0.331, 1629.000, 1089.000
"2013/10/01 12:05:55", 0.310, 1587.000, 1094.000
"2013/10/01 12:05:59", 0.308, 1610.000, 1113.000
"2013/10/01 12:08:43", 0.311, 1709.000, 1177.000
"2013/10/01 12:08:47", 0.302, 1551.000, 1082.000
"2013/10/01 12:08:51", 0.328, 1624.000, 1091.000
"2013/10/01 12:08:55", 0.311, 1622.000, 1116.000
"2013/10/01 12:08:58", 0.332, 1654.000, 1104.000
"2013/10/01 12:11:42", 0.326, 1605.000, 1081.000
"2013/10/01 12:11:46", 0.320, 1634.000, 1110.000
"2013/10/01 12:11:49", 0.312, 1594.000, 1096.000
"2013/10/01 12:11:56", 0.337, 1595.000, 1057.000
"2013/10/01 12:12:00", 0.309, 1592.000, 1099.000
"2013/10/01 12:14:44", 0.379, 1781.000, 1105.000
"2013/10/01 12:14:48", 0.347, 1683.000, 1098.000
"2013/10/01 12:14:51", 0.321, 1571.000, 1066.000
"2013/10/01 12:14:55", 0.336, 1625.000, 1078.000
"2013/10/01 12:15:00", 0.301, 1476.000, 1031.000
"2013/10/01 12:15:03", 0.320, 1565.000, 1064.000
"2013/10/01 12:15:07", 0.346, 1710.000, 1118.000
"2013/10/01 12:15:10", 0.336, 1659.000, 1100.000
"2013/10/01 12:15:14", 0.341, 1656.000, 1091.000
"2013/10/01 12:15:18", 0.320, 1569.000, 1066.000
"2013/10/01 12:15:21", 0.334, 1601.000, 1065.000
"2013/10/01 12:15:25", 0.332, 1621.000, 1082.000
"2013/10/01 12:15:29", 0.319, 1626.000, 1106.000
"2013/10/01 12:15:32", 0.336, 1674.000, 1110.000
"2013/10/01 12:15:36", 0.331, 1616.000, 1081.000
"2013/10/01 12:15:40", 0.326, 1670.000, 1125.000
"2013/10/01 12:15:43", 0.369, 1713.000, 1080.000
"2013/10/01 12:15:47", 0.337, 1694.000, 1123.000
"2013/10/01 12:15:50", 0.349, 1772.000, 1152.000
"2013/10/01 12:15:54", 0.324, 1610.000, 1087.000
"2013/10/01 12:15:58", 0.329, 1508.000, 1011.000
"2013/10/01 12:17:40", 0.280, 1506.000, 1084.000
"2013/10/01 12:17:43", 0.301, 1533.000, 1071.000
"2013/10/01 12:17:47", 0.315, 1551.000, 1062.000
"2013/10/01 12:17:51", 0.315, 1475.000, 1010.000
"2013/10/01 12:17:54", 0.358, 1583.000, 1016.000
"2013/10/01 12:17:58", 0.301, 1471.000, 1027.000
"2013/10/01 12:23:45", 0.283, 1305.000, 935.000
"2013/10/01 12:23:48", 0.308, 1298.000, 898.000
"2013/10/01 12:23:52", 0.251, 1257.000, 941.000
"2013/10/01 12:23:56", 0.255, 1298.000, 967.000
"2013/10/01 12:23:59", 0.274, 1283.000, 931.000
"2013/10/01 12:26:43", 0.302, 1582.000, 1104.000
"2013/10/01 12:26:47", 0.328, 1669.000, 1120.000
"2013/10/01 12:26:50", 0.315, 1660.000, 1137.000
"2013/10/01 12:26:54", 0.340, 1788.000, 1180.000
"2013/10/01 12:26:58", 0.321, 1716.000, 1164.000
"2013/10/01 12:29:42", 0.321, 1596.000, 1083.000
"2013/10/01 12:29:46", 0.349, 1775.000, 1154.000
"2013/10/01 12:29:50", 0.327, 1789.000, 1203.000
"2013/10/01 12:29:53", 0.336, 1841.000, 1222.000
"2013/10/01 12:29:57", 0.303, 1661.000, 1157.000
"2013/10/01 12:32:41", 0.317, 1501.000, 1024.000
"2013/10/01 12:32:44", 0.316, 1578.000, 1079.000
"2013/10/01 12:32:48", 0.283, 1578.000, 1131.000
"2013/10/01 12:32:52", 0.282, 1507.000, 1082.000
"2013/10/01 12:32:55", 0.306, 1570.000, 1089.000
"2013/10/01 12:32:59", 0.307, 1577.000, 1092.000
"2013/10/01 12:35:43", 0.331, 1782.000, 1192.000
"2013/10/01 12:35:50", 0.357, 1753.000, 1126.000
"2013/10/01 12:35:54", 0.336, 1779.000, 1180.000
"2013/10/01 12:35:57", 0.308, 1910.000, 1321.000
"2013/10/01 12:38:42", 0.313, 1612.000, 1106.000
"2013/10/01 12:38:46", 0.349, 1676.000, 1091.000
"2013/10/01 12:38:50", 0.320, 1728.000, 1175.000
"2013/10/01 12:38:53", 0.350, 1751.000, 1138.000
"2013/10/01 12:38:57", 0.346, 1684.000, 1101.000
"2013/10/01 12:39:01", 0.354, 1748.000, 1128.000
"2013/10/01 12:39:04", 0.319, 1738.000, 1182.000
"2013/10/01 12:39:08", 0.317, 1576.000, 1075.000
"2013/10/01 12:39:11", 0.312, 1657.000, 1140.000
"2013/10/01 12:39:19", 0.326, 1656.000, 1116.000
"2013/10/01 12:39:22", 0.331, 1660.000, 1110.000
"2013/10/01 12:39:26", 0.320, 1745.000, 1186.000
"2013/10/01 12:39:30", 0.307, 1715.000, 1188.000
"2013/10/01 12:39:33", 0.312, 1723.000, 1184.000
"2013/10/01 12:39:37", 0.336, 1634.000, 1084.000
"2013/10/01 12:39:41", 0.342, 1785.000, 1174.000
"2013/10/01 12:39:44", 0.300, 1738.000, 1215.000
"2013/10/01 12:39:48", 0.325, 1750.000, 1181.000
"2013/10/01 12:39:52", 0.352, 1766.000, 1143.000
"2013/10/01 12:39:55", 0.342, 1672.000, 1099.000
"2013/10/01 12:39:59", 0.292, 1578.000, 1117.000
"2013/10/01 12:41:44", 0.318, 1603.000, 1092.000
"2013/10/01 12:41:48", 0.312, 1700.000, 1168.000
"2013/10/01 12:41:52", 0.290, 1671.000, 1185.000
"2013/10/01 12:41:55", 0.325, 1681.000, 1133.000
"2013/10/01 12:41:59", 0.295, 1567.000, 1104.000
"2013/10/01 12:44:43", 0.368, 1873.000, 1182.000
"2013/10/01 12:44:48", 0.342, 1898.000, 1248.000
"2013/10/01 12:44:51", 0.347, 1930.000, 1260.000
"2013/10/01 12:44:55", 0.347, 1945.000, 1270.000
"2013/10/01 12:44:58", 0.333, 1873.000, 1249.000
"2013/10/01 12:47:42", 0.324, 2028.000, 1370.000
"2013/10/01 12:47:46", 0.331, 2099.000, 1403.000
"2013/10/01 12:47:50", 0.377, 2063.000, 1284.000
"2013/10/01 12:47:53", 0.322, 1961.000, 1329.000
"2013/10/01 12:47:57", 0.372, 2034.000, 1276.000
"2013/10/01 12:48:00", 0.326, 2022.000, 1362.000
"2013/10/01 12:50:44", 0.330, 1984.000, 1329.000
"2013/10/01 12:50:48", 0.335, 2126.000, 1412.000
"2013/10/01 12:50:52", 0.344, 2108.000, 1381.000
"2013/10/01 12:50:55", 0.356, 2113.000, 1360.000
"2013/10/01 12:50:59", 0.327, 1953.000, 1313.000
"2013/10/01 12:53:44", 0.381, 2084.000, 1288.000
"2013/10/01 12:53:47", 0.326, 2013.000, 1355.000
"2013/10/01 12:53:51", 0.357, 2022.000, 1299.000
"2013/10/01 12:53:55", 0.343, 1995.000, 1309.000
"2013/10/01 12:53:58", 0.338, 1974.000, 1305.000
"2013/10/01 12:59:41", 0.258, 1391.000, 1031.000
"2013/10/01 12:59:44", 0.316, 1512.000, 1034.000
"2013/10/01 12:59:48", 0.332, 1524.000, 1017.000
"2013/10/01 12:59:52", 0.297, 1460.000, 1025.000
"2013/10/01 12:59:55", 0.269, 1430.000, 1045.000
"2013/10/01 12:59:59", 0.276, 1467.000, 1061.000
"2013/10/01 13:02:44", 0.313, 1434.000, 984.000
"2013/10/01 13:02:47", 0.279, 1404.000, 1011.000
"2013/10/01 13:02:51", 0.296, 1390.000, 978.000
"2013/10/01 13:02:55", 0.270, 1340.000, 978.000
"2013/10/01 13:02:58", 0.272, 1375.000, 1000.000
"2013/10/01 13:05:42", 0.283, 1359.000, 974.000
"2013/10/01 13:05:46", 0.266, 1280.000, 939.000
"2013/10/01 13:05:49", 0.251, 1302.000, 975.000
"2013/10/01 13:05:53", 0.268, 1342.000, 982.000
"2013/10/01 13:05:57", 0.235, 1272.000, 972.000
"2013/10/01 13:06:00", 0.278, 1273.000, 918.000
"2013/10/01 13:08:44", 0.329, 1352.000, 907.000
"2013/10/01 13:08:48", 0.252, 1257.000, 939.000
"2013/10/01 13:08:52", 0.253, 1280.000, 956.000
"2013/10/01 13:08:55", 0.290, 1322.000, 938.000
"2013/10/01 13:08:59", 0.275, 1305.000, 946.000
"2013/10/01 13:11:44", 0.266, 1258.000, 923.000
"2013/10/01 13:11:47", 0.256, 1240.000, 922.000
"2013/10/01 13:11:51", 0.260, 1231.000, 910.000
"2013/10/01 13:11:55", 0.267, 1257.000, 921.000
