time[YYYY-MM-DD hh:mm:ss PST], oxygensat, oxygen
"2013/08/01 00:00:00", 78.206, 4.958
"2013/08/01 00:02:00", 78.468, 5.014
"2013/08/01 00:03:00", 78.644, 5.008
"2013/08/01 00:05:00", 79.541, 5.059
"2013/08/01 00:06:00", 79.712, 5.060
"2013/08/01 00:11:00", 80.263, 5.107
"2013/08/01 00:12:00", 80.247, 5.097
"2013/08/01 00:14:00", 80.828, 5.140
"2013/08/01 00:15:00", 81.181, 5.152
"2013/08/01 00:17:00", 81.035, 5.156
"2013/08/01 00:23:00", 80.680, 5.123
"2013/08/01 00:24:00", 80.783, 5.123
"2013/08/01 00:26:00", 81.614, 5.191
"2013/08/01 00:27:00", 81.714, 5.190
"2013/08/01 00:29:00", 82.736, 5.266
"2013/08/01 00:30:00", 83.042, 5.272
"2013/08/01 00:32:00", 83.800, 5.329
"2013/08/01 00:33:00", 83.974, 5.333
"2013/08/01 00:35:00", 83.349, 5.298
"2013/08/01 00:36:00", 83.575, 5.305
"2013/08/01 00:38:00", 82.607, 5.247
"2013/08/01 00:39:00", 82.463, 5.224
"2013/08/01 00:40:00", 82.515, 5.224
"2013/08/01 00:41:00", 82.190, 5.217
"2013/08/01 00:44:00", 81.921, 5.198
"2013/08/01 00:45:00", 81.848, 5.188
"2013/08/01 00:47:00", 80.788, 5.167
"2013/08/01 00:48:00", 80.999, 5.167
"2013/08/01 00:53:00", 81.189, 5.188
"2013/08/01 00:54:00", 81.311, 5.176
"2013/08/01 00:59:00", 82.929, 5.254
"2013/08/01 01:00:00", 83.003, 5.253
"2013/08/01 01:02:00", 82.053, 5.238
"2013/08/01 01:03:00", 82.066, 5.220
"2013/08/01 01:05:00", 81.904, 5.195
"2013/08/01 01:06:00", 81.451, 5.158
"2013/08/01 01:08:00", 81.251, 5.169
"2013/08/01 01:09:00", 81.269, 5.162
"2013/08/01 01:11:00", 81.859, 5.190
"2013/08/01 01:12:00", 81.674, 5.173
"2013/08/01 01:14:00", 83.736, 5.303
"2013/08/01 01:15:00", 83.759, 5.301
"2013/08/01 01:17:00", 83.273, 5.271
"2013/08/01 01:18:00", 83.182, 5.263
"2013/08/01 01:56:00", 75.244, 4.767
"2013/08/01 01:59:00", 76.093, 4.827
"2013/08/01 02:00:00", 76.309, 4.841
"2013/08/01 02:02:00", 78.493, 4.999
"2013/08/01 02:05:00", 80.435, 5.094
"2013/08/01 02:06:00", 80.078, 5.068
"2013/08/01 02:08:00", 79.947, 5.060
"2013/08/01 02:09:00", 79.942, 5.057
"2013/08/01 02:11:00", 79.494, 5.033
"2013/08/01 02:12:00", 79.542, 5.035
"2013/08/01 02:14:00", 78.337, 4.964
"2013/08/01 02:15:00", 78.258, 4.955
"2013/08/01 02:17:00", 77.134, 4.890
"2013/08/01 02:18:00", 77.106, 4.886
"2013/08/01 02:23:00", 76.255, 4.835
"2013/08/01 02:24:00", 76.173, 4.827
"2013/08/01 02:26:00", 78.192, 4.964
"2013/08/01 02:27:00", 78.081, 4.952
"2013/08/01 02:29:00", 76.954, 4.877
"2013/08/01 02:30:00", 76.885, 4.871
"2013/08/01 02:32:00", 79.587, 5.047
"2013/08/01 02:33:00", 80.121, 5.078
"2013/08/01 02:35:00", 80.367, 5.085
"2013/08/01 02:38:00", 78.106, 4.935
"2013/08/01 02:39:00", 78.034, 4.933
"2013/08/01 02:40:00", 78.124, 4.941
"2013/08/01 02:41:00", 78.597, 4.965
"2013/08/01 02:42:00", 78.613, 4.966
"2013/08/01 02:44:00", 78.499, 4.965
"2013/08/01 02:45:00", 78.433, 4.959
"2013/08/01 02:47:00", 77.984, 4.937
"2013/08/01 02:48:00", 77.989, 4.939
"2013/08/01 02:50:00", 77.930, 4.938
"2013/08/01 02:51:00", 77.856, 4.933
"2013/08/01 02:53:00", 79.513, 5.034
"2013/08/01 02:54:00", 79.854, 5.056
"2013/08/01 02:59:00", 77.696, 4.915
"2013/08/01 03:00:00", 77.679, 4.914
"2013/08/01 03:02:00", 77.104, 4.912
"2013/08/01 03:03:00", 77.140, 4.904
"2013/08/01 03:05:00", 78.047, 4.949
"2013/08/01 03:06:00", 78.342, 4.971
"2013/08/01 03:11:00", 80.137, 5.083
"2013/08/01 03:12:00", 80.563, 5.107
"2013/08/01 03:14:00", 80.272, 5.082
"2013/08/01 03:15:00", 80.521, 5.101
"2013/08/01 03:17:00", 79.277, 5.015
"2013/08/01 03:18:00", 79.236, 5.013
"2013/08/01 03:23:00", 78.206, 4.947
"2013/08/01 03:24:00", 78.214, 4.949
"2013/08/01 03:26:00", 78.078, 4.941
"2013/08/01 03:27:00", 78.123, 4.945
"2013/08/01 03:29:00", 78.563, 4.972
"2013/08/01 03:30:00", 78.523, 4.970
"2013/08/01 03:32:00", 79.483, 5.033
"2013/08/01 03:35:00", 78.436, 4.963
"2013/08/01 03:36:00", 78.392, 4.960
"2013/08/01 03:38:00", 78.379, 4.961
"2013/08/01 03:39:00", 78.373, 4.962
"2013/08/01 03:41:00", 77.957, 4.928
"2013/08/01 03:42:00", 77.902, 4.927
"2013/08/01 03:44:00", 78.552, 4.975
"2013/08/01 03:45:00", 78.699, 4.984
"2013/08/01 03:47:00", 78.825, 4.992
"2013/08/01 03:48:00", 78.834, 4.990
"2013/08/01 03:50:00", 77.594, 4.910
"2013/08/01 03:53:00", 77.529, 4.912
"2013/08/01 03:54:00", 77.546, 4.914
"2013/08/01 03:56:00", 78.439, 4.965
"2013/08/01 03:57:00", 78.435, 4.966
"2013/08/01 03:59:00", 78.284, 4.958
"2013/08/01 04:00:00", 78.347, 4.962
"2013/08/01 04:02:00", 78.007, 4.972
"2013/08/01 04:03:00", 78.209, 4.973
"2013/08/01 04:05:00", 78.164, 4.948
"2013/08/01 04:06:00", 78.347, 4.961
"2013/08/01 04:08:00", 78.129, 4.945
"2013/08/01 04:09:00", 78.126, 4.944
"2013/08/01 04:11:00", 77.989, 4.938
"2013/08/01 04:12:00", 78.081, 4.943
"2013/08/01 04:14:00", 78.714, 4.983
"2013/08/01 04:15:00", 78.879, 4.996
"2013/08/01 04:17:00", 79.222, 5.013
"2013/08/01 04:18:00", 79.279, 5.018
"2013/08/01 04:23:00", 78.736, 4.994
"2013/08/01 04:24:00", 78.701, 4.990
"2013/08/01 04:26:00", 79.278, 5.034
"2013/08/01 04:27:00", 79.409, 5.038
"2013/08/01 04:29:00", 79.059, 5.021
"2013/08/01 04:30:00", 79.143, 5.021
"2013/08/01 04:32:00", 79.071, 5.024
"2013/08/01 04:33:00", 79.143, 5.022
"2013/08/01 04:35:00", 79.568, 5.060
"2013/08/01 04:36:00", 79.631, 5.056
"2013/08/01 04:38:00", 79.676, 5.066
"2013/08/01 04:39:00", 79.788, 5.062
"2013/08/01 04:41:00", 79.452, 5.039
"2013/08/01 04:42:00", 79.543, 5.043
"2013/08/01 04:44:00", 80.192, 5.098
"2013/08/01 04:45:00", 80.207, 5.089
"2013/08/01 04:47:00", 80.047, 5.095
"2013/08/01 04:50:00", 80.127, 5.091
"2013/08/01 04:51:00", 80.029, 5.080
"2013/08/01 04:53:00", 80.223, 5.097
"2013/08/01 04:54:00", 80.339, 5.098
"2013/08/01 04:56:00", 80.285, 5.097
"2013/08/01 04:57:00", 80.252, 5.087
"2013/08/01 04:59:00", 80.102, 5.082
"2013/08/01 05:00:00", 80.075, 5.076
"2013/08/01 05:02:00", 79.704, 5.089
"2013/08/01 05:03:00", 79.890, 5.085
"2013/08/01 05:05:00", 80.443, 5.106
"2013/08/01 05:08:00", 80.027, 5.080
"2013/08/01 05:09:00", 79.985, 5.074
"2013/08/01 05:14:00", 80.092, 5.087
"2013/08/01 05:15:00", 80.295, 5.096
"2013/08/01 05:17:00", 80.319, 5.097
"2013/08/01 05:18:00", 80.207, 5.087
"2013/08/01 05:23:00", 79.868, 5.065
"2013/08/01 05:24:00", 79.853, 5.060
"2013/08/01 05:26:00", 79.870, 5.070
"2013/08/01 05:27:00", 79.721, 5.056
"2013/08/01 05:29:00", 79.668, 5.056
"2013/08/01 05:30:00", 79.765, 5.059
"2013/08/01 05:32:00", 79.160, 5.022
"2013/08/01 05:33:00", 79.367, 5.030
"2013/08/01 05:35:00", 79.032, 5.009
"2013/08/01 05:36:00", 79.232, 5.020
"2013/08/01 05:38:00", 78.912, 5.003
"2013/08/01 05:39:00", 78.749, 4.986
"2013/08/01 05:40:00", 78.880, 4.995
"2013/08/01 05:41:00", 78.561, 4.973
"2013/08/01 05:42:00", 78.613, 4.976
"2013/08/01 05:44:00", 78.521, 4.978
"2013/08/01 05:45:00", 78.567, 4.977
"2013/08/01 05:47:00", 78.746, 4.993
"2013/08/01 05:48:00", 78.832, 4.995
"2013/08/01 05:50:00", 78.685, 4.987
"2013/08/01 05:51:00", 78.700, 4.986
"2013/08/01 05:53:00", 78.629, 4.985
"2013/08/01 05:54:00", 78.654, 4.984
"2013/08/01 05:56:00", 78.663, 4.987
"2013/08/01 05:57:00", 78.699, 4.989
"2013/08/01 05:59:00", 78.370, 4.970
"2013/08/01 06:00:00", 78.519, 4.978
"2013/08/01 06:02:00", 78.112, 4.979
"2013/08/01 06:05:00", 78.259, 4.964
"2013/08/01 06:06:00", 78.340, 4.965
"2013/08/01 06:08:00", 78.213, 4.959
"2013/08/01 06:09:00", 78.249, 4.961
"2013/08/01 06:11:00", 78.432, 4.976
"2013/08/01 06:12:00", 78.559, 4.983
"2013/08/01 06:14:00", 78.127, 4.954
"2013/08/01 06:15:00", 78.200, 4.963
"2013/08/01 06:17:00", 77.984, 4.946
"2013/08/01 06:18:00", 78.108, 4.953
"2013/08/01 06:23:00", 78.106, 4.956
"2013/08/01 06:24:00", 78.151, 4.958
"2013/08/01 06:26:00", 78.145, 4.960
"2013/08/01 06:29:00", 78.060, 4.954
"2013/08/01 06:30:00", 78.019, 4.953
"2013/08/01 06:32:00", 78.270, 4.969
"2013/08/01 06:33:00", 78.375, 4.976
"2013/08/01 06:35:00", 77.504, 4.917
"2013/08/01 06:36:00", 77.532, 4.918
"2013/08/01 06:38:00", 76.843, 4.876
"2013/08/01 06:39:00", 76.727, 4.869
"2013/08/01 06:40:00", 76.513, 4.850
"2013/08/01 06:41:00", 76.002, 4.814
"2013/08/01 06:44:00", 75.574, 4.804
"2013/08/01 06:45:00", 75.929, 4.826
"2013/08/01 06:47:00", 75.463, 4.804
"2013/08/01 06:48:00", 75.662, 4.816
"2013/08/01 06:50:00", 75.666, 4.814
"2013/08/01 06:51:00", 75.395, 4.792
"2013/08/01 06:53:00", 76.526, 4.872
"2013/08/01 06:54:00", 76.633, 4.874
"2013/08/01 06:56:00", 76.766, 4.895
"2013/08/01 06:57:00", 77.074, 4.910
"2013/08/01 06:59:00", 77.307, 4.932
"2013/08/01 07:02:00", 78.064, 5.000
"2013/08/01 07:03:00", 78.186, 4.995
"2013/08/01 07:05:00", 78.452, 5.010
"2013/08/01 07:06:00", 78.546, 5.011
"2013/08/01 07:08:00", 78.417, 4.999
"2013/08/01 07:09:00", 78.460, 4.995
"2013/08/01 07:11:00", 78.376, 4.992
"2013/08/01 07:12:00", 78.328, 4.982
"2013/08/01 07:14:00", 78.303, 4.987
"2013/08/01 07:15:00", 78.460, 4.985
"2013/08/01 07:17:00", 78.263, 4.987
"2013/08/01 07:18:00", 78.326, 4.983
"2013/08/01 07:23:00", 78.521, 5.002
"2013/08/01 07:26:00", 77.931, 4.955
"2013/08/01 07:27:00", 78.102, 4.963
"2013/08/01 07:29:00", 76.289, 4.848
"2013/08/01 07:30:00", 75.260, 4.758
