time[YYYY-MM-DD hh:mm:ss PST], cdom
"2013/10/01 00:23:47", 15.806
"2013/10/01 00:23:49", 15.204
"2013/10/01 00:23:51", 14.861
"2013/10/01 00:23:53", 15.977
"2013/10/01 00:23:55", 15.204
"2013/10/01 00:23:57", 15.634
"2013/10/01 00:23:59", 15.634
"2013/10/01 00:26:47", 16.063
"2013/10/01 00:26:49", 15.548
"2013/10/01 00:26:51", 15.204
"2013/10/01 00:26:53", 15.118
"2013/10/01 00:26:55", 15.290
"2013/10/01 00:26:57", 15.204
"2013/10/01 00:26:59", 15.290
"2013/10/01 00:29:46", 15.892
"2013/10/01 00:29:48", 16.321
"2013/10/01 00:29:50", 16.063
"2013/10/01 00:29:52", 16.321
"2013/10/01 00:29:54", 16.321
"2013/10/01 00:29:56", 16.149
"2013/10/01 00:29:58", 16.321
"2013/10/01 00:30:00", 16.407
"2013/10/01 00:32:45", 15.204
"2013/10/01 00:32:47", 15.462
"2013/10/01 00:32:49", 15.892
"2013/10/01 00:32:51", 15.118
"2013/10/01 00:32:53", 15.290
"2013/10/01 00:32:55", 14.775
"2013/10/01 00:32:57", 14.861
"2013/10/01 00:32:59", 15.548
"2013/10/01 00:35:47", 14.345
"2013/10/01 00:35:49", 14.947
"2013/10/01 00:35:51", 14.517
"2013/10/01 00:35:53", 14.689
"2013/10/01 00:35:55", 14.775
"2013/10/01 00:35:57", 15.118
"2013/10/01 00:35:59", 14.345
"2013/10/01 00:38:47", 14.517
"2013/10/01 00:38:49", 14.947
"2013/10/01 00:38:53", 14.088
"2013/10/01 00:38:55", 14.088
"2013/10/01 00:38:57", 15.118
"2013/10/01 00:38:59", 14.174
"2013/10/01 00:39:01", 13.830
"2013/10/01 00:39:03", 14.174
"2013/10/01 00:39:05", 14.517
"2013/10/01 00:39:07", 13.916
"2013/10/01 00:39:09", 14.345
"2013/10/01 00:39:11", 14.002
"2013/10/01 00:39:13", 14.603
"2013/10/01 00:39:15", 14.345
"2013/10/01 00:39:17", 15.033
"2013/10/01 00:39:19", 14.174
"2013/10/01 00:39:21", 14.259
"2013/10/01 00:39:23", 14.088
"2013/10/01 00:39:25", 15.204
"2013/10/01 00:39:27", 14.174
"2013/10/01 00:39:29", 14.259
"2013/10/01 00:39:31", 14.775
"2013/10/01 00:39:33", 14.174
"2013/10/01 00:39:35", 14.088
"2013/10/01 00:39:37", 14.002
"2013/10/01 00:39:39", 15.118
"2013/10/01 00:39:40", 14.517
"2013/10/01 00:39:42", 14.259
"2013/10/01 00:39:45", 14.088
"2013/10/01 00:39:47", 14.088
"2013/10/01 00:39:49", 14.431
"2013/10/01 00:39:51", 14.689
"2013/10/01 00:39:53", 15.033
"2013/10/01 00:39:55", 14.088
"2013/10/01 00:39:56", 14.775
"2013/10/01 00:39:59", 14.259
"2013/10/01 00:40:00", 15.033
"2013/10/01 00:41:45", 14.861
"2013/10/01 00:41:47", 14.603
"2013/10/01 00:41:49", 14.775
"2013/10/01 00:41:51", 15.290
"2013/10/01 00:41:53", 14.174
"2013/10/01 00:41:55", 15.033
"2013/10/01 00:41:57", 14.861
"2013/10/01 00:41:59", 15.118
"2013/10/01 00:44:47", 14.345
"2013/10/01 00:44:49", 14.775
"2013/10/01 00:44:51", 15.118
"2013/10/01 00:44:53", 14.517
"2013/10/01 00:44:55", 14.775
"2013/10/01 00:44:57", 14.345
"2013/10/01 00:44:59", 14.431
"2013/10/01 00:47:47", 14.088
"2013/10/01 00:47:49", 13.744
"2013/10/01 00:47:51", 14.259
"2013/10/01 00:47:53", 14.775
